age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
29,Private,Bachelors,Single,Not-in-family,White-Collar,White,Female,0,2258,45,1
40,Private,School,Married,Husband,White-Collar,White,Male,0,0,40,1
23,Government,Some-college,Single,Own-child,White-Collar,White,Female,0,0,20,0
40,Other/Unknown,HS-grad,Married,Wife,Other/Unknown,White,Female,0,0,35,1
41,Private,Some-college,Married,Husband,Sales,White,Male,0,0,50,1
25,Private,Some-college,Single,Not-in-family,Professional,White,Female,0,0,65,0
45,Self-Employed,Prof-school,Married,Husband,Professional,White,Male,0,1977,50,1
44,Government,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
42,Self-Employed,HS-grad,Married,Husband,Sales,White,Male,0,0,60,0
27,Private,HS-grad,Single,Other-relative,Sales,White,Male,0,0,45,0
18,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
61,Private,School,Married,Husband,Blue-Collar,White,Male,0,2051,40,0
36,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
36,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
22,Private,HS-grad,Single,Own-child,Service,Black,Female,0,0,40,0
53,Private,HS-grad,Divorced,Other-relative,Blue-Collar,White,Male,0,0,40,0
52,Government,Doctorate,Married,Husband,Professional,White,Male,0,0,40,1
23,Government,Bachelors,Single,Own-child,Professional,White,Female,0,0,20,0
48,Private,Prof-school,Divorced,Unmarried,Professional,White,Female,0,0,25,0
24,Private,HS-grad,Separated,Unmarried,Service,White,Female,0,0,50,1
36,Private,Bachelors,Single,Own-child,White-Collar,White,Male,0,0,55,0
51,Self-Employed,Bachelors,Widowed,Unmarried,White-Collar,White,Male,0,0,50,0
32,Self-Employed,Bachelors,Single,Not-in-family,Blue-Collar,White,Female,0,0,35,0
34,Self-Employed,Assoc,Married,Husband,White-Collar,White,Male,0,0,60,1
27,Private,Prof-school,Single,Not-in-family,Professional,Asian-Pac-Islander,Male,0,0,10,0
43,Private,Assoc,Married,Husband,White-Collar,White,Male,3103,0,48,1
24,Private,HS-grad,Divorced,Not-in-family,Sales,White,Female,0,0,30,0
22,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,60,0
55,Private,HS-grad,Widowed,Not-in-family,Sales,White,Female,0,0,38,0
46,Private,Prof-school,Married,Husband,Professional,White,Male,99999,0,60,1
39,Private,Bachelors,Married,Wife,Professional,White,Female,5013,0,32,0
31,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,50,0
23,Private,Some-college,Single,Not-in-family,Blue-Collar,Black,Female,0,0,40,0
49,Government,Bachelors,Married,Husband,Professional,White,Male,0,0,60,0
44,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,1504,45,0
23,Private,School,Single,Own-child,Sales,White,Female,0,0,20,0
59,Self-Employed,Assoc,Married,Husband,Blue-Collar,White,Male,0,0,40,0
46,Private,Some-college,Divorced,Own-child,Blue-Collar,White,Male,3325,0,55,0
56,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
20,Private,HS-grad,Married,Wife,White-Collar,White,Female,0,0,20,0
37,Government,HS-grad,Married,Husband,Service,White,Male,0,0,40,1
46,Other/Unknown,HS-grad,Married,Not-in-family,Other/Unknown,Asian-Pac-Islander,Male,0,0,40,0
46,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
41,Private,HS-grad,Married,Husband,Professional,White,Male,0,1902,40,1
29,Private,Assoc,Separated,Not-in-family,Blue-Collar,White,Male,0,0,40,0
46,Government,Bachelors,Married,Husband,White-Collar,White,Male,0,0,45,1
20,Other/Unknown,Assoc,Single,Not-in-family,Other/Unknown,White,Male,0,0,40,0
62,Government,HS-grad,Married,Husband,White-Collar,White,Male,0,0,40,0
36,Private,Some-college,Married,Husband,White-Collar,White,Male,0,0,40,1
23,Private,HS-grad,Single,Unmarried,White-Collar,White,Female,0,0,40,0
31,Private,Some-college,Single,Not-in-family,Service,White,Male,0,0,40,0
22,Private,Some-college,Single,Not-in-family,Professional,White,Female,0,0,40,0
54,Private,HS-grad,Widowed,Unmarried,Service,White,Female,0,0,40,0
55,Private,School,Single,Other-relative,Blue-Collar,Black,Male,0,0,37,0
73,Private,Assoc,Widowed,Not-in-family,Professional,White,Male,25124,0,60,1
23,Other/Unknown,Some-college,Single,Unmarried,Other/Unknown,White,Female,0,0,40,0
49,Private,Assoc,Married,Husband,Professional,White,Male,0,0,40,0
43,Government,Assoc,Married,Unmarried,Service,White,Female,0,0,30,0
25,Private,Bachelors,Married,Wife,White-Collar,White,Female,0,0,40,0
57,Self-Employed,School,Divorced,Unmarried,Service,White,Male,4650,0,50,0
45,Government,Bachelors,Married,Husband,Professional,White,Male,0,0,50,1
59,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Female,0,0,40,0
37,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,46,1
37,Private,Bachelors,Married,Wife,Professional,White,Female,0,0,16,1
26,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,60,0
30,Private,Some-college,Married,Other-relative,White-Collar,White,Male,0,0,40,0
37,Private,Prof-school,Married,Husband,Professional,White,Male,0,0,40,1
25,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,2407,0,40,0
