age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
33,Government,Bachelors,Divorced,Unmarried,Service,White,Female,0,0,60,0
20,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,White,Male,0,0,40,0
56,Private,Some-college,Married,Husband,Professional,White,Male,0,0,45,0
25,Government,Masters,Single,Own-child,Professional,White,Male,0,0,20,0
37,Private,Some-college,Single,Not-in-family,Blue-Collar,Black,Male,0,0,40,0
49,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Female,0,0,40,0
36,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,56,0
37,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,50,1
41,Private,Some-college,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,1
19,Government,Some-college,Single,Own-child,White-Collar,White,Female,0,0,8,0
30,Private,Some-college,Single,Not-in-family,Sales,White,Female,0,0,48,0
33,Government,School,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
42,Private,Some-college,Divorced,Unmarried,White-Collar,White,Female,0,213,40,0
40,Government,Bachelors,Single,Not-in-family,Professional,White,Male,0,0,50,1
21,Private,Some-college,Married,Husband,Professional,White,Male,0,0,20,0
32,Private,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
46,Private,School,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
43,Private,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
64,Government,HS-grad,Widowed,Not-in-family,White-Collar,White,Female,0,0,35,1
46,Government,Bachelors,Divorced,Not-in-family,Professional,White,Female,4787,0,25,1
35,Private,HS-grad,Divorced,Unmarried,White-Collar,White,Female,0,0,40,1
18,Private,Some-college,Single,Not-in-family,White-Collar,Black,Male,0,0,40,0
49,Government,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
41,Private,Some-college,Married,Husband,Service,White,Male,0,0,45,1
31,Private,HS-grad,Single,Own-child,Service,White,Male,0,0,16,0
31,Private,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
38,Private,Assoc,Married,Husband,Blue-Collar,White,Male,0,0,50,0
30,Private,HS-grad,Married,Unmarried,Sales,White,Male,0,0,40,0
30,Other/Unknown,Bachelors,Single,Not-in-family,Other/Unknown,Asian-Pac-Islander,Female,0,0,99,0
38,Private,Some-college,Married,Husband,Blue-Collar,Black,Male,0,0,50,0
35,Private,HS-grad,Divorced,Unmarried,Professional,White,Female,0,0,40,0
30,Private,Bachelors,Single,Not-in-family,Sales,White,Female,0,0,30,0
42,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,46,0
33,Private,HS-grad,Married,Husband,White-Collar,White,Male,7298,0,45,1
36,Private,Bachelors,Married,Husband,Sales,White,Male,15024,0,65,1
20,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
54,Private,HS-grad,Married,Husband,Service,Asian-Pac-Islander,Male,0,0,38,0
55,Private,HS-grad,Married,Wife,White-Collar,White,Female,0,0,30,1
33,Private,HS-grad,Divorced,Unmarried,Blue-Collar,Black,Female,0,0,40,0
37,Private,Masters,Married,Husband,White-Collar,White,Male,0,0,40,1
27,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
41,Self-Employed,Prof-school,Married,Husband,Professional,White,Male,15024,0,50,1
40,Private,Bachelors,Single,Own-child,Professional,White,Female,0,0,60,0
32,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
34,Private,HS-grad,Single,Other-relative,Service,White,Female,0,0,40,0
46,Private,HS-grad,Single,Not-in-family,Blue-Collar,Black,Female,0,0,15,0
23,Private,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
28,Private,HS-grad,Single,Not-in-family,Service,White,Male,0,0,60,0
19,Private,Some-college,Single,Own-child,Blue-Collar,White,Male,0,0,20,0
18,Private,School,Single,Own-child,Sales,White,Female,0,0,25,0
32,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
62,Private,Some-college,Widowed,Unmarried,Service,White,Female,0,0,40,0
37,Private,HS-grad,Divorced,Unmarried,Service,Black,Female,0,0,40,0
37,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,1
38,Government,HS-grad,Single,Not-in-family,White-Collar,White,Male,0,0,45,1
18,Private,Some-college,Single,Own-child,Service,White,Male,0,0,37,0
45,Private,Some-college,Married,Husband,Sales,Black,Male,15024,0,99,1
43,Private,Bachelors,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
41,Government,Masters,Divorced,Unmarried,Professional,White,Female,0,0,60,0
36,Private,HS-grad,Divorced,Unmarried,Service,White,Female,0,0,40,0
37,Private,Some-college,Single,Not-in-family,Sales,White,Male,0,0,60,0
41,Government,Bachelors,Married,Wife,Professional,White,Female,0,0,52,0
53,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,Other,Male,0,0,60,0
20,Private,School,Married,Own-child,Blue-Collar,White,Male,0,0,40,0
53,Self-Employed,HS-grad,Married,Wife,Professional,White,Female,3411,0,65,0
51,Private,Assoc,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
33,Self-Employed,School,Single,Not-in-family,Blue-Collar,Black,Male,0,0,32,0
41,Private,Bachelors,Divorced,Unmarried,White-Collar,White,Female,0,0,45,0
22,Other/Unknown,Some-college,Single,Not-in-family,Other/Unknown,White,Male,0,0,15,0
72,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
64,Private,HS-grad,Divorced,Not-in-family,Service,White,Female,0,1762,79,0
23,Private,Some-college,Single,Own-child,White-Collar,White,Female,0,0,40,0
35,Private,Bachelors,Married,Husband,Sales,White,Male,0,0,40,1
24,Private,Some-college,Single,Not-in-family,White-Collar,White,Female,0,0,40,0
53,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,1887,65,1
33,Private,HS-grad,Married,Husband,Sales,White,Male,0,0,40,1
17,Private,School,Single,Own-child,Blue-Collar,White,Male,0,0,30,0
56,Private,HS-grad,Single,Not-in-family,White-Collar,White,Female,0,0,38,0
26,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
78,Other/Unknown,Masters,Widowed,Not-in-family,Other/Unknown,White,Female,0,0,15,0
29,Private,HS-grad,Single,Own-child,Service,White,Male,0,0,30,0
44,Private,HS-grad,Divorced,Unmarried,Blue-Collar,White,Male,0,0,50,0
50,Private,Some-college,Married,Husband,Sales,White,Male,0,0,40,0
