age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:30-60,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,127,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,56,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,single,university.degree,no,yes,yes,cellular,nov,thu,43,4,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:30-60,blue-collar,single,university.degree,no,yes,yes,telephone,may,wed,165,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,professional.course,no,no,no,cellular,aug,fri,922,7,0,no,failure,0.00014,166,36.1,4,5228.1,1
age:30-60,admin.,single,high.school,no,yes,no,cellular,jul,wed,85,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,services,single,high.school,no,yes,no,cellular,may,fri,187,11,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,single,professional.course,no,no,no,cellular,aug,fri,94,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,basic.6y,no,yes,yes,cellular,jul,thu,95,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,married,university.degree,no,yes,no,cellular,aug,fri,58,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,divorced,high.school,no,no,no,telephone,may,tue,207,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,blue-collar,single,basic.4y,no,yes,yes,telephone,jun,mon,41,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,single,unknown,no,no,no,cellular,nov,fri,504,2,0,yes,failure,0.1,164,42.0,4,5195.8,1
age:30-60,technician,single,professional.course,no,yes,no,cellular,mar,tue,459,1,0,no,failure,1.8,165,34.8,0,5008.7,1
age:not30-60,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,10,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,university.degree,no,yes,no,telephone,may,mon,15,5,0,no,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,single,professional.course,no,yes,no,cellular,may,fri,136,3,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,married,basic.6y,yes,yes,yes,telephone,may,thu,318,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,blue-collar,married,unknown,yes,no,no,telephone,jun,wed,445,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,single,high.school,no,yes,no,cellular,aug,tue,276,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,divorced,basic.6y,yes,no,no,cellular,jul,tue,632,6,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,admin.,married,high.school,no,no,no,cellular,may,wed,275,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,mon,399,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,services,married,high.school,yes,yes,yes,cellular,aug,fri,324,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,management,married,university.degree,yes,no,no,cellular,jul,mon,93,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,unemployed,single,university.degree,no,yes,yes,cellular,aug,tue,153,6,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,self-employed,single,professional.course,yes,yes,yes,telephone,may,tue,94,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,retired,married,high.school,no,no,no,cellular,aug,thu,135,1,0,no,failure,2.9,154,31.4,0,5076.2,0
age:30-60,retired,divorced,high.school,yes,yes,yes,cellular,jul,tue,102,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,entrepreneur,divorced,high.school,no,yes,no,cellular,jul,thu,812,2,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,blue-collar,single,basic.4y,no,yes,no,cellular,jul,tue,145,12,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,unknown,yes,yes,no,cellular,aug,thu,197,4,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,entrepreneur,married,university.degree,yes,yes,no,telephone,may,wed,159,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,high.school,yes,no,no,cellular,jul,thu,1756,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,self-employed,married,university.degree,no,no,no,cellular,apr,mon,145,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,divorced,professional.course,no,no,no,cellular,may,mon,17,8,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,single,high.school,no,yes,no,telephone,jul,fri,52,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,371,2,0,yes,failure,1.1,179,50.8,1,4963.6,0
age:30-60,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,358,10,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,retired,married,professional.course,no,yes,no,cellular,apr,thu,236,2,0,no,failure,1.8,169,34.6,0,5008.7,0
age:not30-60,services,married,basic.6y,no,no,no,cellular,nov,wed,314,2,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:30-60,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,456,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,married,high.school,yes,yes,yes,telephone,may,thu,118,4,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,divorced,professional.course,no,no,no,telephone,may,mon,102,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,self-employed,single,university.degree,no,yes,no,cellular,sep,thu,318,1,6,yes,success,1.1,173,37.5,0,4963.6,0
age:30-60,blue-collar,married,basic.6y,no,no,no,cellular,aug,thu,320,2,3,yes,success,2.9,154,31.4,0,5076.2,1
age:30-60,technician,married,university.degree,no,no,no,cellular,nov,thu,204,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,services,divorced,high.school,no,yes,yes,telephone,may,wed,125,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,married,high.school,no,no,no,cellular,nov,mon,150,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,admin.,single,university.degree,no,no,no,cellular,aug,wed,192,1,0,no,failure,2.9,154,31.4,0,5076.2,0
age:30-60,admin.,married,high.school,no,no,no,cellular,aug,thu,16,17,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,management,married,university.degree,no,yes,no,telephone,may,thu,68,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,management,married,university.degree,no,no,no,cellular,apr,mon,98,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,services,married,high.school,no,yes,no,cellular,aug,mon,54,15,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,high.school,no,yes,yes,cellular,jul,wed,870,1,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,blue-collar,single,basic.9y,no,yes,no,cellular,jul,fri,324,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,single,high.school,yes,no,no,cellular,aug,mon,481,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,retired,divorced,basic.6y,no,no,no,cellular,may,fri,154,2,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,140,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,basic.9y,no,no,yes,cellular,jul,tue,416,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,university.degree,no,no,no,telephone,jun,mon,221,7,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:not30-60,technician,married,university.degree,no,no,no,cellular,aug,wed,201,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,married,university.degree,no,no,no,telephone,may,wed,86,6,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,aug,tue,123,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,divorced,high.school,no,no,no,telephone,may,tue,138,4,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,married,university.degree,no,no,no,cellular,aug,wed,94,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,single,professional.course,no,yes,no,telephone,jun,wed,134,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,no,no,cellular,aug,thu,13,14,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,entrepreneur,married,high.school,no,no,no,telephone,may,wed,145,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,professional.course,no,yes,yes,telephone,may,thu,87,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,single,basic.4y,yes,no,no,telephone,jun,fri,402,22,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,married,professional.course,no,no,no,telephone,jun,fri,206,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
