age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:30-60,services,divorced,high.school,no,yes,yes,cellular,nov,mon,90,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,single,university.degree,no,no,no,cellular,may,wed,307,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,aug,tue,297,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,housemaid,married,basic.4y,yes,no,no,cellular,aug,wed,148,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,16,5,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,high.school,no,yes,no,telephone,may,wed,72,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,university.degree,no,no,no,cellular,aug,mon,115,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,married,professional.course,no,yes,no,cellular,apr,thu,98,4,0,yes,failure,1.8,169,34.6,0,5008.7,0
age:30-60,self-employed,divorced,university.degree,yes,yes,no,cellular,jul,wed,544,11,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,high.school,no,yes,no,cellular,may,mon,180,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,married,basic.9y,no,no,yes,telephone,may,wed,217,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,married,university.degree,no,no,yes,telephone,jun,fri,20,4,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,single,basic.6y,no,yes,yes,cellular,nov,fri,202,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,single,university.degree,no,no,no,cellular,jun,tue,654,1,0,yes,failure,2.9,161,40.8,1,5076.2,1
age:30-60,services,married,basic.6y,no,yes,no,cellular,jul,mon,207,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,retired,married,university.degree,yes,no,no,cellular,jul,wed,767,5,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,technician,married,high.school,yes,yes,no,cellular,aug,wed,112,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,blue-collar,single,basic.6y,yes,yes,no,telephone,may,tue,331,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,housemaid,married,basic.4y,no,no,no,cellular,nov,tue,878,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,housemaid,divorced,basic.9y,yes,no,yes,cellular,jul,wed,122,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,university.degree,no,yes,no,cellular,jul,fri,955,1,9,yes,success,1.7,174,40.3,0,4991.6,1
age:30-60,technician,single,university.degree,no,yes,no,cellular,dec,mon,329,2,0,no,failure,3.0,159,33.0,0,5023.5,1
age:not30-60,admin.,single,high.school,no,yes,no,telephone,jun,mon,223,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,management,married,university.degree,no,yes,no,cellular,aug,tue,101,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,self-employed,single,university.degree,no,yes,no,cellular,apr,thu,48,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,retired,married,unknown,no,no,no,telephone,jul,thu,269,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,university.degree,no,yes,no,telephone,jun,fri,59,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,single,university.degree,no,yes,no,telephone,jun,fri,136,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,married,university.degree,no,no,no,telephone,jun,thu,82,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,high.school,no,yes,yes,telephone,may,mon,437,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,housemaid,married,basic.6y,no,yes,no,cellular,aug,tue,1134,1,0,no,failure,0.00014,166,36.1,4,5228.1,1
age:30-60,technician,married,professional.course,no,no,no,telephone,may,wed,489,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.9y,yes,no,no,telephone,jul,fri,1492,2,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,technician,divorced,university.degree,no,no,yes,cellular,aug,tue,86,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
