LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYEMENT,SEX_Female,SEX_Male,EDUCATION_Graduate_school,EDUCATION_High_school,EDUCATION_Others,EDUCATION_University,MARRIAGE_Married,MARRIAGE_Others,MARRIAGE_Single,PAY_0_Pay_delay>=1,PAY_0_Pay_duly,PAY_2_Pay_delay>=1,PAY_2_Pay_duly,PAY_3_Pay_delay>=1,PAY_3_Pay_duly,PAY_4_Pay_delay>=1,PAY_4_Pay_duly,PAY_5_Pay_delay>=1,PAY_5_Pay_duly,PAY_6_Pay_delay>=1,PAY_6_Pay_duly
360000.0,27,5146.0,15381.0,0.0,0.0,0.0,0.0,15381.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
200000.0,38,176579.0,180233.0,184262.0,178674.0,181318.0,179477.0,6589.0,7074.0,7870.0,7028.0,6768.0,5906.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
100000.0,42,0.0,0.0,0.0,1054.0,1230.0,1054.0,0.0,0.0,1054.0,1230.0,1054.0,1054.0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1
30000.0,36,1772.0,9619.0,-6.0,-6.0,-6.0,-6.0,9647.0,0.0,0.0,0.0,0.0,2011.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,23,46750.0,45985.0,26675.0,16948.0,16303.0,18019.0,1505.0,2000.0,592.0,604.0,2000.0,2000.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
150000.0,43,105416.0,106773.0,106500.0,104670.0,55442.0,55936.0,5800.0,4648.0,2000.0,2889.0,2700.0,94000.0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
280000.0,37,7523.0,1567.0,-8.0,-8.0,1680.0,0.0,1574.0,0.0,0.0,1688.0,0.0,198.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
100000.0,27,11540.0,1300.0,0.0,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
120000.0,30,101596.0,102860.0,104694.0,103058.0,71095.0,47379.0,3706.0,5502.0,4204.0,3017.0,2005.0,1702.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
150000.0,48,9730.0,0.0,1366.0,1388.0,3118.0,1148.0,0.0,1366.0,1388.0,3118.0,1148.0,496.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,39,26094.0,25376.0,29548.0,28786.0,28024.0,28772.0,0.0,4600.0,0.0,0.0,1200.0,1200.0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1
200000.0,30,416.0,416.0,416.0,416.0,416.0,0.0,416.0,416.0,416.0,416.0,0.0,832.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,31,77962.0,48095.0,50383.0,48987.0,48793.0,48328.0,3000.0,3387.0,1637.0,1231.0,3356.0,636.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
90000.0,35,5488.0,2380.0,0.0,1700.0,1700.0,0.0,1000.0,0.0,1700.0,1700.0,0.0,1664.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
220000.0,41,157980.0,163974.0,140964.0,105353.0,100750.0,85261.0,11024.0,5198.0,6006.0,10362.0,5000.0,4000.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
380000.0,32,91806.0,100291.0,108245.0,109006.0,117195.0,121246.0,10000.0,10000.0,10000.0,10001.0,6000.0,38000.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
180000.0,25,120583.0,97341.0,87773.0,89547.0,91639.0,93991.0,3507.0,3201.0,3200.0,3500.0,4000.0,3704.0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,29,48259.0,48740.0,26953.0,27860.0,28420.0,29045.0,1726.0,1500.0,1376.0,936.0,1000.0,1100.0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
50000.0,28,51943.0,50800.0,51967.0,50794.0,51911.0,50976.0,0.0,4156.0,0.0,4100.0,0.0,2000.0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
230000.0,30,120113.0,112301.0,104587.0,98333.0,88909.0,78872.0,4501.0,4585.0,3328.0,3500.0,2872.0,3000.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
120000.0,24,3377.0,4644.0,8528.0,8200.0,3488.0,1161.0,2500.0,5000.0,1000.0,3488.0,1161.0,5036.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,31,26441.0,28297.0,29532.0,28758.0,30287.0,31133.0,2600.0,2000.0,0.0,2000.0,1500.0,1500.0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
140000.0,44,127254.0,109717.0,81545.0,81454.0,60176.0,79728.0,6050.0,3700.0,2000.0,3000.0,20000.0,1500.0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
180000.0,45,18472.0,20546.0,24956.0,24262.0,24782.0,26208.0,2690.0,5100.0,0.0,1058.0,2000.0,3000.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1
240000.0,41,5366.0,-34.0,6911.0,611.0,2631.0,4583.0,0.0,6945.0,614.0,2634.0,4606.0,6242.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
260000.0,43,99523.0,76712.0,55185.0,82040.0,60867.0,59005.0,3514.0,3049.0,58312.0,3018.0,3020.0,1511.0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
170000.0,33,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
30000.0,38,2828.0,4868.0,3963.0,4514.0,3129.0,675.0,3963.0,16.0,4527.0,675.0,0.0,1015.0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
70000.0,27,42825.0,47047.0,62703.0,28945.0,16345.0,21163.0,5000.0,20000.0,10000.0,6000.0,5000.0,8000.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
130000.0,28,114144.0,102650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1
240000.0,28,199671.0,193523.0,187389.0,181348.0,174998.0,168176.0,7000.0,7000.0,7000.0,6500.0,6000.0,6000.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,34,0.0,0.0,400.0,0.0,600.0,600.0,0.0,400.0,0.0,600.0,0.0,4275.0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
80000.0,29,12393.0,14187.0,13263.0,11045.0,10259.0,5773.0,2022.0,1308.0,506.0,1516.0,1000.0,1000.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
450000.0,35,7240.0,1251.0,0.0,1620.0,0.0,4155.0,1251.0,0.0,1620.0,0.0,4155.0,11089.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
140000.0,30,854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
110000.0,26,44089.0,29251.0,30454.0,33100.0,34727.0,36823.0,3002.0,2500.0,3000.0,2000.0,2500.0,1500.0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
140000.0,27,30121.0,33315.0,32485.0,33142.0,35443.0,34724.0,4000.0,0.0,1500.0,3000.0,0.0,1500.0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
120000.0,38,111098.0,114863.0,118038.0,118805.0,59210.0,61267.0,5600.0,6500.0,5000.0,3000.0,3000.0,3000.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
140000.0,29,2937.0,5150.0,1514.0,2573.0,495.0,1744.0,2024.0,1522.0,2580.0,496.0,1749.0,2265.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
150000.0,36,38298.0,39292.0,40357.0,41284.0,42105.0,43146.0,1635.0,1700.0,1600.0,1507.0,1719.0,2000.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
130000.0,37,91390.0,88381.0,89091.0,91212.0,29441.0,29683.0,5000.0,3424.0,4193.0,1042.0,1100.0,1080.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
330000.0,28,255834.0,258822.0,254855.0,258220.0,256058.0,256840.0,9425.0,9000.0,9174.0,9590.0,9500.0,9400.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
160000.0,45,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,388.0,3099.0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
50000.0,42,4864.0,5876.0,6898.0,7910.0,8681.0,8397.0,1252.0,1274.0,1286.0,1057.0,0.0,306.0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
30000.0,22,23892.0,28459.0,25499.0,25778.0,28708.0,30520.0,5300.0,0.0,1000.0,3352.0,2300.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
100000.0,28,188853.0,180765.0,64653.0,10388.0,3762.0,1434.0,5003.0,3018.0,1400.0,3786.0,1774.0,12714.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
50000.0,33,48111.0,47583.0,38897.0,20190.0,19633.0,19035.0,2100.0,1690.0,11700.0,1200.0,1200.0,1000.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
260000.0,30,893.0,2778.0,4052.0,977.0,977.0,452.0,2946.0,4052.0,977.0,977.0,452.0,2097.0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
270000.0,26,134235.0,62483.0,62134.0,61797.0,57312.0,57582.0,6000.0,2500.0,3000.0,7475.0,3000.0,2500.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
80000.0,39,18787.0,19869.0,20897.0,21911.0,22545.0,23181.0,1400.0,1352.0,1366.0,1000.0,1000.0,1000.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
230000.0,26,23758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
30000.0,43,28264.0,28703.0,26622.0,24022.0,24368.0,20859.0,2000.0,1300.0,2.0,1608.0,0.0,900.0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
210000.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1
50000.0,23,15167.0,16393.0,14195.0,14859.0,9446.0,7246.0,1523.0,1353.0,1017.0,1000.0,1000.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
130000.0,24,16078.0,16055.0,13371.0,4405.0,1292.0,390.0,4176.0,0.0,1000.0,1292.0,390.0,2165.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
410000.0,37,5770.0,2290.0,2756.0,3560.0,6661.0,3877.0,2290.0,2756.0,3560.0,6661.0,3877.0,1249.0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
170000.0,37,7365.0,255.0,4884.0,4442.0,1800.0,0.0,255.0,4892.0,4478.0,1800.0,0.0,150.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
110000.0,24,9334.0,108868.0,96998.0,94480.0,90860.0,85529.0,100082.0,4200.0,0.0,3000.0,3140.0,4900.0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1
