id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.02254,0.19298,0.10241,-0.19681,-0.09763,False,False,0.95595
0.9,0.01,0.02254,0.19297,0.1024,-0.19679,-0.09789,False,False,0.95595
0.9,0.03,0.02254,0.18885,0.1024,-0.19318,-0.09799,False,False,0.95595
0.9,0.05,0.02254,0.1889,0.10242,-0.1932,-0.09752,False,False,0.95595
0.9,0.07,0.02254,0.19303,0.10245,-0.19681,-0.09665,False,False,0.95595
0.9,0.1,0.02254,0.19305,0.10283,-0.19681,-0.08351,False,True,0.95595
0.9,0.2,0.02254,0.20025,0.12457,-0.20322,0.01172,True,True,0.95595
0.91,0.005,0.02471,0.18887,0.1024,-0.19319,-0.09785,False,False,0.95186
0.91,0.01,0.02471,0.18893,0.10239,-0.19322,-0.09817,False,False,0.95186
0.91,0.03,0.02471,0.18892,0.10241,-0.19317,-0.0978,False,False,0.95186
0.91,0.05,0.02471,0.19309,0.10244,-0.19685,-0.09687,False,False,0.95186
0.91,0.07,0.02471,0.19306,0.10249,-0.19682,-0.0946,False,False,0.95186
0.91,0.1,0.02471,0.19297,0.10283,-0.19674,-0.08351,False,True,0.95186
0.91,0.2,0.02471,0.20004,0.13134,-0.20305,0.02867,True,True,0.95186
0.92,0.005,0.02849,0.19306,0.10241,-0.19681,-0.09818,False,False,0.94416
0.92,0.01,0.02849,0.19304,0.10241,-0.19679,-0.098,False,False,0.94416
0.92,0.03,0.02849,0.193,0.10244,-0.19675,-0.09736,False,False,0.94416
0.92,0.05,0.02849,0.19299,0.10247,-0.19676,-0.09564,False,False,0.94416
0.92,0.07,0.02849,0.19295,0.10263,-0.19671,-0.08817,False,False,0.94416
0.92,0.1,0.02849,0.19239,0.10283,-0.19622,-0.08351,False,True,0.94416
0.92,0.2,0.02849,0.20002,0.1436,-0.20295,0.05503,True,True,0.94416
0.93,0.005,0.02942,0.19306,0.10241,-0.19681,-0.09802,False,False,0.93982
0.93,0.01,0.02942,0.19306,0.10241,-0.19681,-0.09783,False,False,0.93982
0.93,0.03,0.02942,0.19301,0.10244,-0.19677,-0.09687,False,False,0.93982
0.93,0.05,0.02942,0.193,0.10248,-0.19677,-0.09547,False,False,0.93982
0.93,0.07,0.02942,0.19301,0.10266,-0.19677,-0.08728,False,False,0.93982
0.93,0.1,0.02942,0.19237,0.10283,-0.19621,-0.08351,False,True,0.93982
0.93,0.2,0.02942,0.20007,0.14698,-0.20303,0.06157,True,True,0.93982
0.94,0.005,0.03475,0.19295,0.10243,-0.19673,-0.09743,False,False,0.93684
0.94,0.01,0.03475,0.19246,0.10245,-0.19629,-0.09699,False,False,0.93684
0.94,0.03,0.03475,0.19242,0.10247,-0.19625,-0.0956,False,False,0.93684
0.94,0.05,0.03475,0.19239,0.10257,-0.19624,-0.09173,False,False,0.93684
0.94,0.07,0.03475,0.19229,0.10283,-0.19613,-0.08351,False,False,0.93684
0.94,0.1,0.03475,0.19209,0.10283,-0.19595,-0.08351,False,True,0.93684
0.94,0.2,0.03475,0.20006,0.1652,-0.20303,0.0939,True,True,0.93684
0.95,0.005,0.03766,0.19246,0.10245,-0.19629,-0.09658,False,False,0.92865
0.95,0.01,0.03766,0.19246,0.10244,-0.19629,-0.09617,False,False,0.92865
0.95,0.03,0.03766,0.19236,0.10251,-0.1962,-0.09436,False,False,0.92865
0.95,0.05,0.03766,0.19232,0.10263,-0.19619,-0.08809,False,False,0.92865
0.95,0.07,0.03766,0.19221,0.10283,-0.19607,-0.08351,False,False,0.92865
0.95,0.1,0.03766,0.19209,0.10283,-0.19597,-0.08351,False,True,0.92865
0.95,0.2,0.03766,0.20006,0.17688,-0.20304,0.11169,True,True,0.92865
0.96,0.005,0.04231,0.19246,0.10248,-0.19628,-0.0955,False,False,0.91897
0.96,0.01,0.04231,0.19241,0.10248,-0.19623,-0.0955,False,False,0.91897
0.96,0.03,0.04231,0.19242,0.10256,-0.19626,-0.092,False,False,0.91897
0.96,0.05,0.04231,0.1923,0.10283,-0.19613,-0.08351,False,False,0.91897
0.96,0.07,0.04231,0.1921,0.10283,-0.19595,-0.08351,False,False,0.91897
0.96,0.1,0.04231,0.19186,0.10283,-0.19578,-0.08351,False,True,0.91897
0.96,0.2,0.04231,0.20005,0.19377,-0.20304,0.13623,True,True,0.91897
0.97,0.005,0.04547,0.19238,0.10249,-0.1962,-0.09489,False,False,0.91091
0.97,0.01,0.04547,0.19238,0.10252,-0.1962,-0.09388,False,False,0.91091
0.97,0.03,0.04547,0.19232,0.10259,-0.19619,-0.08895,False,False,0.91091
0.97,0.05,0.04547,0.19226,0.10283,-0.1961,-0.08351,False,False,0.91091
0.97,0.07,0.04547,0.19211,0.10283,-0.196,-0.08351,False,False,0.91091
0.97,0.1,0.04547,0.19163,0.10283,-0.19558,-0.08351,False,True,0.91091
0.97,0.2,0.04547,0.20009,0.19626,-0.20301,0.13985,True,True,0.91091
0.98,0.005,0.0472,0.19225,0.1025,-0.19606,-0.09413,False,False,0.9057
0.98,0.01,0.0472,0.19225,0.10253,-0.19606,-0.09345,False,False,0.9057
0.98,0.03,0.0472,0.19218,0.10264,-0.19603,-0.08786,False,False,0.9057
0.98,0.05,0.0472,0.1921,0.10283,-0.19593,-0.08351,False,False,0.9057
0.98,0.07,0.0472,0.19194,0.10283,-0.19582,-0.08351,False,False,0.9057
0.98,0.1,0.0472,0.19148,0.10283,-0.19546,-0.08351,False,True,0.9057
