id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.02254,0.19298,0.10241,0.09763,0.19681,False,False,0.95595
0.9,0.01,0.02254,0.19297,0.1024,0.09789,0.19679,False,False,0.95595
0.9,0.03,0.02254,0.18885,0.1024,0.09799,0.19318,False,False,0.95595
0.9,0.05,0.02254,0.1889,0.10242,0.09752,0.1932,False,False,0.95595
0.9,0.07,0.02254,0.19303,0.10245,0.09665,0.19681,False,False,0.95595
0.9,0.1,0.02254,0.19305,0.10283,0.08351,0.19681,False,True,0.95595
0.9,0.2,0.02254,0.20025,0.12457,0.01172,0.20322,True,True,0.95595
0.91,0.005,0.02471,0.18887,0.1024,0.09785,0.19319,False,False,0.95186
0.91,0.01,0.02471,0.18893,0.10239,0.09817,0.19322,False,False,0.95186
0.91,0.03,0.02471,0.18892,0.10241,0.0978,0.19317,False,False,0.95186
0.91,0.05,0.02471,0.19309,0.10244,0.09687,0.19685,False,False,0.95186
0.91,0.07,0.02471,0.19306,0.10249,0.0946,0.19682,False,False,0.95186
0.91,0.1,0.02471,0.19297,0.10283,0.08351,0.19674,False,True,0.95186
0.91,0.2,0.02471,0.20004,0.13134,0.02867,0.20305,True,True,0.95186
0.92,0.005,0.02849,0.19306,0.10241,0.09818,0.19681,False,False,0.94416
0.92,0.01,0.02849,0.19304,0.10241,0.098,0.19679,False,False,0.94416
0.92,0.03,0.02849,0.193,0.10244,0.09736,0.19675,False,False,0.94416
0.92,0.05,0.02849,0.19299,0.10247,0.09564,0.19676,False,False,0.94416
0.92,0.07,0.02849,0.19295,0.10263,0.08817,0.19671,False,False,0.94416
0.92,0.1,0.02849,0.19239,0.10283,0.08351,0.19622,False,True,0.94416
0.92,0.2,0.02849,0.20002,0.1436,0.05503,0.20295,True,True,0.94416
0.93,0.005,0.02942,0.19306,0.10241,0.09802,0.19681,False,False,0.93982
0.93,0.01,0.02942,0.19306,0.10241,0.09783,0.19681,False,False,0.93982
0.93,0.03,0.02942,0.19301,0.10244,0.09687,0.19677,False,False,0.93982
0.93,0.05,0.02942,0.193,0.10248,0.09547,0.19677,False,False,0.93982
0.93,0.07,0.02942,0.19301,0.10266,0.08728,0.19677,False,False,0.93982
0.93,0.1,0.02942,0.19237,0.10283,0.08351,0.19621,False,True,0.93982
0.93,0.2,0.02942,0.20007,0.14698,0.06157,0.20303,True,True,0.93982
0.94,0.005,0.03475,0.19295,0.10243,0.09743,0.19673,False,False,0.93684
0.94,0.01,0.03475,0.19246,0.10245,0.09699,0.19629,False,False,0.93684
0.94,0.03,0.03475,0.19242,0.10247,0.0956,0.19625,False,False,0.93684
0.94,0.05,0.03475,0.19239,0.10257,0.09173,0.19624,False,False,0.93684
0.94,0.07,0.03475,0.19229,0.10283,0.08351,0.19613,False,False,0.93684
0.94,0.1,0.03475,0.19209,0.10283,0.08351,0.19595,False,True,0.93684
0.94,0.2,0.03475,0.20006,0.1652,0.0939,0.20303,True,True,0.93684
0.95,0.005,0.03766,0.19246,0.10245,0.09658,0.19629,False,False,0.92865
0.95,0.01,0.03766,0.19246,0.10244,0.09617,0.19629,False,False,0.92865
