id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.02558,0.16331,0.08895,-0.18184,-0.08218,False,False,0.95012
0.9,0.01,0.02558,0.16328,0.08896,-0.18181,-0.08195,False,False,0.95012
0.9,0.03,0.02558,0.16327,0.08897,-0.18181,-0.08165,False,False,0.95012
0.9,0.05,0.02558,0.16323,0.08899,-0.18175,-0.08074,False,False,0.95012
0.9,0.07,0.02558,0.16316,0.08917,-0.18169,-0.06978,False,True,0.95012
0.9,0.1,0.02558,0.16302,0.09916,-0.18152,-0.01042,False,True,0.95012
0.9,0.2,0.02558,0.19869,0.11233,-0.21638,0.02903,True,True,0.95012
0.91,0.005,0.02688,0.16328,0.08896,-0.18181,-0.08191,False,False,0.94801
0.91,0.01,0.02688,0.16328,0.08896,-0.18181,-0.08191,False,False,0.94801
0.91,0.03,0.02688,0.16326,0.08898,-0.1818,-0.0811,False,False,0.94801
0.91,0.05,0.02688,0.16321,0.089,-0.18174,-0.08012,False,False,0.94801
0.91,0.07,0.02688,0.16314,0.08923,-0.18167,-0.06765,False,True,0.94801
0.91,0.1,0.02688,0.16297,0.0994,-0.18148,-0.00943,False,True,0.94801
0.91,0.2,0.02688,0.19881,0.11714,-0.21647,0.04013,True,True,0.94801
0.92,0.005,0.0283,0.16326,0.08897,-0.18178,-0.08178,False,False,0.9464
0.92,0.01,0.0283,0.16326,0.08897,-0.18178,-0.08171,False,False,0.9464
0.92,0.03,0.0283,0.16324,0.08898,-0.18177,-0.08088,False,False,0.9464
0.92,0.05,0.0283,0.16319,0.08903,-0.1817,-0.0784,False,False,0.9464
0.92,0.07,0.0283,0.16311,0.08923,-0.18162,-0.06765,False,True,0.9464
0.92,0.1,0.0283,0.16295,0.09948,-0.18145,-0.00889,False,True,0.9464
0.92,0.2,0.0283,0.19889,0.12241,-0.21652,0.05138,True,True,0.9464
0.93,0.005,0.03041,0.16322,0.08897,-0.18173,-0.08155,False,False,0.94168
0.93,0.01,0.03041,0.16328,0.08897,-0.18183,-0.08138,False,False,0.94168
