id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.02558,0.16331,0.08895,0.08218,0.18184,False,False,0.95012
0.9,0.01,0.02558,0.16328,0.08896,0.08195,0.18181,False,False,0.95012
0.9,0.03,0.02558,0.16327,0.08897,0.08165,0.18181,False,False,0.95012
0.9,0.05,0.02558,0.16323,0.08899,0.08074,0.18175,False,False,0.95012
0.9,0.07,0.02558,0.16316,0.08917,0.06978,0.18169,False,True,0.95012
0.9,0.1,0.02558,0.16302,0.09916,0.01042,0.18152,False,True,0.95012
0.9,0.2,0.02558,0.19869,0.11233,0.02903,0.21638,True,True,0.95012
0.91,0.005,0.02688,0.16328,0.08896,0.08191,0.18181,False,False,0.94801
0.91,0.01,0.02688,0.16328,0.08896,0.08191,0.18181,False,False,0.94801
0.91,0.03,0.02688,0.16326,0.08898,0.0811,0.1818,False,False,0.94801
0.91,0.05,0.02688,0.16321,0.089,0.08012,0.18174,False,False,0.94801
0.91,0.07,0.02688,0.16314,0.08923,0.06765,0.18167,False,True,0.94801
0.91,0.1,0.02688,0.16297,0.0994,0.00943,0.18148,False,True,0.94801
0.91,0.2,0.02688,0.19881,0.11714,0.04013,0.21647,True,True,0.94801
0.92,0.005,0.0283,0.16326,0.08897,0.08178,0.18178,False,False,0.9464
0.92,0.01,0.0283,0.16326,0.08897,0.08171,0.18178,False,False,0.9464
0.92,0.03,0.0283,0.16324,0.08898,0.08088,0.18177,False,False,0.9464
0.92,0.05,0.0283,0.16319,0.08903,0.0784,0.1817,False,False,0.9464
0.92,0.07,0.0283,0.16311,0.08923,0.06765,0.18162,False,True,0.9464
0.92,0.1,0.0283,0.16295,0.09948,0.00889,0.18145,False,True,0.9464
0.92,0.2,0.0283,0.19889,0.12241,0.05138,0.21652,True,True,0.9464
0.93,0.005,0.03041,0.16322,0.08897,0.08155,0.18173,False,False,0.94168
0.93,0.01,0.03041,0.16328,0.08897,0.08138,0.18183,False,False,0.94168
0.93,0.03,0.03041,0.16323,0.08899,0.08048,0.18176,False,False,0.94168
0.93,0.05,0.03041,0.16316,0.08905,0.07676,0.18167,False,False,0.94168
0.93,0.07,0.03041,0.16307,0.08923,0.06765,0.18159,False,True,0.94168
0.93,0.1,0.03041,0.1628,0.09959,0.00832,0.18129,False,True,0.94168
0.93,0.2,0.03041,0.19898,0.12943,0.06552,0.21658,True,True,0.94168
0.94,0.005,0.03159,0.1632,0.08897,0.08136,0.1817,False,False,0.93858
0.94,0.01,0.03159,0.16324,0.08898,0.08126,0.18176,False,False,0.93858
0.94,0.03,0.03159,0.16314,0.08899,0.07995,0.18165,False,False,0.93858
0.94,0.05,0.03159,0.16307,0.08907,0.07514,0.18155,False,False,0.93858
0.94,0.07,0.03159,0.16296,0.08923,0.06765,0.18145,False,True,0.93858
0.94,0.1,0.03159,0.16265,0.09962,0.00812,0.18109,False,True,0.93858
0.94,0.2,0.03159,0.19902,0.13288,0.07225,0.21661,True,True,0.93858
0.95,0.005,0.034,0.16317,0.08898,0.08091,0.18169,False,False,0.93461
0.95,0.01,0.034,0.16317,0.08898,0.08091,0.18169,False,False,0.93461
0.95,0.03,0.034,0.1631,0.08902,0.0789,0.18159,False,False,0.93461
0.95,0.05,0.034,0.16297,0.08912,0.07186,0.18145,False,False,0.93461
0.95,0.07,0.034,0.16289,0.08923,0.06765,0.18135,False,True,0.93461
0.95,0.1,0.034,0.16263,0.09968,0.00779,0.18111,False,True,0.93461
