id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.0231,0.17131,0.09723,-0.1843,-0.08141,False,False,0.95893
0.9,0.01,0.0231,0.17124,0.09723,-0.18422,-0.08147,False,False,0.95893
0.9,0.03,0.0231,0.17507,0.09722,-0.1879,-0.08165,False,False,0.95893
0.9,0.05,0.0231,0.17511,0.09719,-0.18791,-0.08203,False,False,0.95893
0.9,0.07,0.0231,0.17504,0.09699,-0.18783,-0.08552,False,False,0.95893
0.9,0.1,0.0231,0.17496,0.10181,-0.18777,-0.04615,False,True,0.95893
0.9,0.2,0.0231,0.19929,0.12353,-0.20967,0.02413,True,True,0.95893
0.91,0.005,0.02676,0.17513,0.09721,-0.18793,-0.08173,False,False,0.94801
0.91,0.01,0.02676,0.1751,0.0972,-0.18791,-0.08182,False,False,0.94801
0.91,0.03,0.02676,0.17511,0.0972,-0.18793,-0.08192,False,False,0.94801
0.91,0.05,0.02676,0.17506,0.09693,-0.18786,-0.0869,False,False,0.94801
0.91,0.07,0.02676,0.17496,0.09731,-0.18777,-0.07893,False,False,0.94801
0.91,0.1,0.02676,0.17481,0.1021,-0.18764,-0.04505,False,True,0.94801
0.91,0.2,0.02676,0.19948,0.137,-0.2099,0.05266,True,True,0.94801
0.92,0.005,0.02843,0.17508,0.09721,-0.18788,-0.0817,False,False,0.94143
0.92,0.01,0.02843,0.17508,0.09721,-0.18788,-0.08173,False,False,0.94143
0.92,0.03,0.02843,0.17506,0.09719,-0.18787,-0.08211,False,False,0.94143
0.92,0.05,0.02843,0.175,0.09696,-0.18779,-0.08622,False,False,0.94143
0.92,0.07,0.02843,0.17501,0.09757,-0.18782,-0.0752,False,False,0.94143
0.92,0.1,0.02843,0.17479,0.102,-0.18761,-0.04567,False,True,0.94143
0.92,0.2,0.02843,0.19954,0.14337,-0.20997,0.06465,True,True,0.94143
0.93,0.005,0.0327,0.17498,0.0972,-0.18779,-0.08197,False,False,0.93659
0.93,0.01,0.0327,0.17494,0.09719,-0.18775,-0.0821,False,False,0.93659
0.93,0.03,0.0327,0.17491,0.09693,-0.18774,-0.08689,False,False,0.93659
0.93,0.05,0.0327,0.17487,0.09713,-0.18768,-0.08262,False,False,0.93659
0.93,0.07,0.0327,0.17474,0.0976,-0.18758,-0.07476,False,False,0.93659
0.93,0.1,0.0327,0.17441,0.10183,-0.18726,-0.04669,False,True,0.93659
0.93,0.2,0.0327,0.19982,0.15763,-0.2102,0.08987,True,True,0.93659
0.94,0.005,0.03084,0.17502,0.09719,-0.18781,-0.08208,False,False,0.92617
0.94,0.01,0.03084,0.17498,0.09719,-0.18777,-0.08213,False,False,0.92617
0.94,0.03,0.03084,0.175,0.09692,-0.1878,-0.08652,False,False,0.92617
0.94,0.05,0.03084,0.17492,0.09701,-0.18771,-0.08491,False,False,0.92617
0.94,0.07,0.03084,0.17485,0.0976,-0.18766,-0.07476,False,False,0.92617
0.94,0.1,0.03084,0.17452,0.10187,-0.18734,-0.04645,False,True,0.92617
0.94,0.2,0.03084,0.19959,0.15232,-0.21004,0.08045,True,True,0.92617
0.95,0.005,0.03617,0.17491,0.09719,-0.18772,-0.08216,False,False,0.92567
0.95,0.01,0.03617,0.17491,0.09696,-0.18772,-0.08603,False,False,0.92567
