id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.0231,0.17131,0.09723,0.08141,0.1843,False,False,0.95893
0.9,0.01,0.0231,0.17124,0.09723,0.08147,0.18422,False,False,0.95893
0.9,0.03,0.0231,0.17507,0.09722,0.08165,0.1879,False,False,0.95893
0.9,0.05,0.0231,0.17511,0.09719,0.08203,0.18791,False,False,0.95893
0.9,0.07,0.0231,0.17504,0.09699,0.08552,0.18783,False,False,0.95893
0.9,0.1,0.0231,0.17496,0.10181,0.04615,0.18777,False,True,0.95893
0.9,0.2,0.0231,0.19929,0.12353,0.02413,0.20967,True,True,0.95893
0.91,0.005,0.02676,0.17513,0.09721,0.08173,0.18793,False,False,0.94801
0.91,0.01,0.02676,0.1751,0.0972,0.08182,0.18791,False,False,0.94801
0.91,0.03,0.02676,0.17511,0.0972,0.08192,0.18793,False,False,0.94801
0.91,0.05,0.02676,0.17506,0.09693,0.0869,0.18786,False,False,0.94801
0.91,0.07,0.02676,0.17496,0.09731,0.07893,0.18777,False,False,0.94801
0.91,0.1,0.02676,0.17481,0.1021,0.04505,0.18764,False,True,0.94801
0.91,0.2,0.02676,0.19948,0.137,0.05266,0.2099,True,True,0.94801
0.92,0.005,0.02843,0.17508,0.09721,0.0817,0.18788,False,False,0.94143
0.92,0.01,0.02843,0.17508,0.09721,0.08173,0.18788,False,False,0.94143
0.92,0.03,0.02843,0.17506,0.09719,0.08211,0.18787,False,False,0.94143
0.92,0.05,0.02843,0.175,0.09696,0.08622,0.18779,False,False,0.94143
0.92,0.07,0.02843,0.17501,0.09757,0.0752,0.18782,False,False,0.94143
0.92,0.1,0.02843,0.17479,0.102,0.04567,0.18761,False,True,0.94143
0.92,0.2,0.02843,0.19954,0.14337,0.06465,0.20997,True,True,0.94143
0.93,0.005,0.0327,0.17498,0.0972,0.08197,0.18779,False,False,0.93659
0.93,0.01,0.0327,0.17494,0.09719,0.0821,0.18775,False,False,0.93659
