id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.0257,0.19858,0.10888,-0.19312,-0.09848,False,False,0.95086
0.9,0.01,0.0257,0.19858,0.10888,-0.19312,-0.09848,False,False,0.95086
0.9,0.03,0.0257,0.19864,0.10888,-0.1931,-0.09849,False,False,0.95086
0.9,0.05,0.0257,0.20244,0.10889,-0.19656,-0.09767,False,False,0.95086
0.9,0.07,0.0257,0.20244,0.1089,-0.19657,-0.09687,False,False,0.95086
0.9,0.1,0.0257,0.20239,0.10903,-0.19652,-0.0834,False,True,0.95086
0.9,0.2,0.0257,0.20453,0.1363,-0.1985,0.02825,True,True,0.95086
0.91,0.005,0.02793,0.19866,0.10888,-0.1931,-0.09859,False,False,0.94255
0.91,0.01,0.02793,0.20245,0.10888,-0.19658,-0.09868,False,False,0.94255
0.91,0.03,0.02793,0.20244,0.10888,-0.19656,-0.09814,False,False,0.94255
0.91,0.05,0.02793,0.2024,0.1089,-0.19653,-0.09731,False,False,0.94255
0.91,0.07,0.02793,0.20237,0.10892,-0.19651,-0.09459,False,False,0.94255
0.91,0.1,0.02793,0.20189,0.10903,-0.19608,-0.0834,False,True,0.94255
0.91,0.2,0.02793,0.20453,0.14339,-0.1985,0.04444,True,True,0.94255
0.92,0.005,0.03221,0.20243,0.10888,-0.19655,-0.0984,False,False,0.93659
0.92,0.01,0.03221,0.20241,0.10889,-0.19653,-0.0985,False,False,0.93659
0.92,0.03,0.03221,0.20195,0.10889,-0.19611,-0.09779,False,False,0.93659
0.92,0.05,0.03221,0.20193,0.10891,-0.1961,-0.09575,False,False,0.93659
0.92,0.07,0.03221,0.2019,0.10893,-0.19606,-0.08857,False,False,0.93659
0.92,0.1,0.03221,0.20175,0.10903,-0.19595,-0.0834,False,True,0.93659
0.92,0.2,0.03221,0.20453,0.15874,-0.1985,0.07424,True,True,0.93659
0.93,0.005,0.03289,0.20243,0.10889,-0.19655,-0.0983,False,False,0.93672
0.93,0.01,0.03289,0.20241,0.10889,-0.19653,-0.09841,False,False,0.93672
0.93,0.03,0.03289,0.20193,0.10889,-0.19609,-0.09767,False,False,0.93672
0.93,0.05,0.03289,0.2019,0.10891,-0.19608,-0.09554,False,False,0.93672
0.93,0.07,0.03289,0.20187,0.10893,-0.19604,-0.08829,False,False,0.93672
0.93,0.1,0.03289,0.20172,0.10903,-0.19592,-0.0834,False,True,0.93672
0.93,0.2,0.03289,0.20453,0.16028,-0.1985,0.07727,True,True,0.93672
0.94,0.005,0.03462,0.20196,0.10889,-0.19612,-0.09819,False,False,0.93213
0.94,0.01,0.03462,0.20196,0.10889,-0.19612,-0.09797,False,False,0.93213
0.94,0.03,0.03462,0.20188,0.1089,-0.19605,-0.0967,False,False,0.93213
0.94,0.05,0.03462,0.20185,0.10891,-0.19604,-0.09483,False,False,0.93213
0.94,0.07,0.03462,0.20181,0.10897,-0.19599,-0.0866,False,False,0.93213
0.94,0.1,0.03462,0.20164,0.10903,-0.19585,-0.0834,False,True,0.93213
0.94,0.2,0.03462,0.20453,0.16747,-0.1985,0.08915,True,True,0.93213
0.95,0.005,0.03673,0.20195,0.10889,-0.1961,-0.09819,False,False,0.92505
0.95,0.01,0.03673,0.20191,0.10889,-0.19606,-0.0977,False,False,0.92505
0.95,0.03,0.03673,0.20187,0.1089,-0.19602,-0.09631,False,False,0.92505
0.95,0.05,0.03673,0.20183,0.10893,-0.19601,-0.09314,False,False,0.92505
0.95,0.07,0.03673,0.20179,0.10903,-0.19595,-0.0834,False,False,0.92505
0.95,0.1,0.03673,0.2016,0.10903,-0.1958,-0.0834,False,True,0.92505
0.95,0.2,0.03673,0.20453,0.17379,-0.1985,0.09978,True,True,0.92505
0.96,0.005,0.0433,0.20184,0.10891,-0.196,-0.09627,False,False,0.91934
0.96,0.01,0.0433,0.20184,0.10891,-0.196,-0.09594,False,False,0.91934
0.96,0.03,0.0433,0.20179,0.10892,-0.19596,-0.09366,False,False,0.91934
0.96,0.05,0.0433,0.20174,0.10895,-0.19594,-0.08755,False,False,0.91934
0.96,0.07,0.0433,0.20162,0.10903,-0.1958,-0.0834,False,False,0.91934
0.96,0.1,0.0433,0.20142,0.10903,-0.19562,-0.0834,False,True,0.91934
0.96,0.2,0.0433,0.20453,0.196,-0.1985,0.13237,True,True,0.91934
0.97,0.005,0.04435,0.20191,0.10891,-0.19607,-0.09627,False,False,0.90855
0.97,0.01,0.04435,0.20185,0.10891,-0.19602,-0.09594,False,False,0.90855
0.97,0.03,0.04435,0.2018,0.10892,-0.19597,-0.09331,False,False,0.90855
0.97,0.05,0.04435,0.20175,0.10897,-0.19595,-0.08634,False,False,0.90855
0.97,0.07,0.04435,0.20163,0.10903,-0.19581,-0.0834,False,False,0.90855
0.97,0.1,0.04435,0.20141,0.10903,-0.19562,-0.0834,False,True,0.90855
0.97,0.2,0.04435,0.20453,0.19627,-0.1985,0.13281,True,True,0.90855
0.98,0.005,0.04875,0.20177,0.10891,-0.19594,-0.09494,False,False,0.90594
0.98,0.01,0.04875,0.2017,0.10891,-0.19588,-0.09494,False,False,0.90594
0.98,0.03,0.04875,0.20171,0.10892,-0.19592,-0.08888,False,False,0.90594
0.98,0.05,0.04875,0.20157,0.10903,-0.19579,-0.0834,False,False,0.90594
0.98,0.07,0.04875,0.20141,0.10903,-0.19562,-0.0834,False,False,0.90594
0.98,0.1,0.04875,0.20121,0.10903,-0.19548,-0.0834,False,True,0.90594
0.98,0.2,0.04875,0.20453,0.19687,-0.1985,0.13386,True,True,0.90594
0.99,0.005,0.05005,0.2017,0.10891,-0.19586,-0.09494,False,False,0.90396
0.99,0.01,0.05005,0.2017,0.10891,-0.19586,-0.09455,False,False,0.90396
0.99,0.03,0.05005,0.20164,0.10892,-0.19583,-0.08888,False,False,0.90396
0.99,0.05,0.05005,0.20149,0.10903,-0.19569,-0.0834,False,False,0.90396
0.99,0.07,0.05005,0.2014,0.10903,-0.19558,-0.0834,False,False,0.90396
0.99,0.1,0.05005,0.2012,0.10903,-0.19547,-0.0834,False,True,0.90396
0.99,0.2,0.05005,0.20453,0.19695,-0.1985,0.13403,True,True,0.90396
