id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.0257,0.19858,0.10888,0.09848,0.19312,False,False,0.95086
0.9,0.01,0.0257,0.19858,0.10888,0.09848,0.19312,False,False,0.95086
0.9,0.03,0.0257,0.19864,0.10888,0.09849,0.1931,False,False,0.95086
0.9,0.05,0.0257,0.20244,0.10889,0.09767,0.19656,False,False,0.95086
0.9,0.07,0.0257,0.20244,0.1089,0.09687,0.19657,False,False,0.95086
0.9,0.1,0.0257,0.20239,0.10903,0.0834,0.19652,False,True,0.95086
0.9,0.2,0.0257,0.20453,0.1363,0.02825,0.1985,True,True,0.95086
0.91,0.005,0.02793,0.19866,0.10888,0.09859,0.1931,False,False,0.94255
0.91,0.01,0.02793,0.20245,0.10888,0.09868,0.19658,False,False,0.94255
0.91,0.03,0.02793,0.20244,0.10888,0.09814,0.19656,False,False,0.94255
0.91,0.05,0.02793,0.2024,0.1089,0.09731,0.19653,False,False,0.94255
0.91,0.07,0.02793,0.20237,0.10892,0.09459,0.19651,False,False,0.94255
0.91,0.1,0.02793,0.20189,0.10903,0.0834,0.19608,False,True,0.94255
0.91,0.2,0.02793,0.20453,0.14339,0.04444,0.1985,True,True,0.94255
0.92,0.005,0.03221,0.20243,0.10888,0.0984,0.19655,False,False,0.93659
0.92,0.01,0.03221,0.20241,0.10889,0.0985,0.19653,False,False,0.93659
0.92,0.03,0.03221,0.20195,0.10889,0.09779,0.19611,False,False,0.93659
0.92,0.05,0.03221,0.20193,0.10891,0.09575,0.1961,False,False,0.93659
0.92,0.07,0.03221,0.2019,0.10893,0.08857,0.19606,False,False,0.93659
0.92,0.1,0.03221,0.20175,0.10903,0.0834,0.19595,False,True,0.93659
0.92,0.2,0.03221,0.20453,0.15874,0.07424,0.1985,True,True,0.93659
0.93,0.005,0.03289,0.20243,0.10889,0.0983,0.19655,False,False,0.93672
0.93,0.01,0.03289,0.20241,0.10889,0.09841,0.19653,False,False,0.93672
0.93,0.03,0.03289,0.20193,0.10889,0.09767,0.19609,False,False,0.93672
0.93,0.05,0.03289,0.2019,0.10891,0.09554,0.19608,False,False,0.93672
0.93,0.07,0.03289,0.20187,0.10893,0.08829,0.19604,False,False,0.93672
0.93,0.1,0.03289,0.20172,0.10903,0.0834,0.19592,False,True,0.93672
0.93,0.2,0.03289,0.20453,0.16028,0.07727,0.1985,True,True,0.93672
0.94,0.005,0.03462,0.20196,0.10889,0.09819,0.19612,False,False,0.93213
0.94,0.01,0.03462,0.20196,0.10889,0.09797,0.19612,False,False,0.93213
0.94,0.03,0.03462,0.20188,0.1089,0.0967,0.19605,False,False,0.93213
0.94,0.05,0.03462,0.20185,0.10891,0.09483,0.19604,False,False,0.93213
0.94,0.07,0.03462,0.20181,0.10897,0.0866,0.19599,False,False,0.93213
0.94,0.1,0.03462,0.20164,0.10903,0.0834,0.19585,False,True,0.93213
0.94,0.2,0.03462,0.20453,0.16747,0.08915,0.1985,True,True,0.93213
0.95,0.005,0.03673,0.20195,0.10889,0.09819,0.1961,False,False,0.92505
0.95,0.01,0.03673,0.20191,0.10889,0.0977,0.19606,False,False,0.92505
0.95,0.03,0.03673,0.20187,0.1089,0.09631,0.19602,False,False,0.92505
0.95,0.05,0.03673,0.20183,0.10893,0.09314,0.19601,False,False,0.92505
0.95,0.07,0.03673,0.20179,0.10903,0.0834,0.19595,False,False,0.92505
0.95,0.1,0.03673,0.2016,0.10903,0.0834,0.1958,False,True,0.92505
0.95,0.2,0.03673,0.20453,0.17379,0.09978,0.1985,True,True,0.92505
0.96,0.005,0.0433,0.20184,0.10891,0.09627,0.196,False,False,0.91934
0.96,0.01,0.0433,0.20184,0.10891,0.09594,0.196,False,False,0.91934
0.96,0.03,0.0433,0.20179,0.10892,0.09366,0.19596,False,False,0.91934
0.96,0.05,0.0433,0.20174,0.10895,0.08755,0.19594,False,False,0.91934
0.96,0.07,0.0433,0.20162,0.10903,0.0834,0.1958,False,False,0.91934
0.96,0.1,0.0433,0.20142,0.10903,0.0834,0.19562,False,True,0.91934
