id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.07496,0.11703,0.12915,0.11373,0.18522,True,False,0.86897
0.9,0.01,0.07496,0.11702,0.12918,0.11355,0.18502,True,False,0.86897
0.9,0.03,0.07496,0.11694,0.1292,0.11223,0.18461,True,False,0.86897
0.9,0.05,0.07496,0.11663,0.12922,0.10793,0.18334,True,False,0.86897
0.9,0.07,0.07496,0.11663,0.12922,0.10793,0.18334,True,True,0.86897
0.9,0.1,0.07496,0.11663,0.12922,0.10793,0.18334,True,True,0.86897
0.9,0.2,0.07496,0.11383,0.12736,-0.0097,0.10718,True,True,0.86897
0.91,0.005,0.07938,0.117,0.12918,0.11334,0.18502,True,False,0.84729
0.91,0.01,0.07938,0.11699,0.12919,0.113,0.18492,True,False,0.84729
0.91,0.03,0.07938,0.11686,0.12924,0.11137,0.18427,True,False,0.84729
0.91,0.05,0.07938,0.11663,0.12922,0.10793,0.18334,True,False,0.84729
0.91,0.07,0.07938,0.11663,0.12922,0.10793,0.18334,True,True,0.84729
0.91,0.1,0.07938,0.11663,0.12922,0.10793,0.18334,True,True,0.84729
0.91,0.2,0.07938,0.11403,0.12735,-0.01606,0.10689,True,True,0.84729
0.92,0.005,0.08233,0.117,0.12919,0.11334,0.18492,True,False,0.82562
0.92,0.01,0.08233,0.11692,0.12919,0.11222,0.18492,True,False,0.82562
0.92,0.03,0.08233,0.11682,0.12926,0.1104,0.18391,True,False,0.82562
0.92,0.05,0.08233,0.11663,0.12922,0.10793,0.18334,True,False,0.82562
0.92,0.07,0.08233,0.11663,0.12922,0.10793,0.18334,True,True,0.82562
0.92,0.1,0.08233,0.11663,0.12922,0.10793,0.18334,True,True,0.82562
0.92,0.2,0.08233,0.11416,0.12734,-0.02004,0.10671,True,True,0.82562
0.93,0.005,0.1025,0.1167,0.12925,0.10865,0.18387,True,False,0.78621
0.93,0.01,0.1025,0.11663,0.12924,0.10793,0.18361,True,False,0.78621
0.93,0.03,0.1025,0.11663,0.12922,0.10793,0.18334,True,False,0.78621
0.93,0.05,0.1025,0.11663,0.12922,0.10793,0.18334,True,False,0.78621
0.93,0.07,0.1025,0.11663,0.12922,0.10793,0.18334,True,True,0.78621
0.93,0.1,0.1025,0.11663,0.12922,0.10793,0.18334,True,True,0.78621
0.93,0.2,0.1025,0.11595,0.12731,-0.05058,0.10584,True,True,0.78621
0.94,0.005,0.10496,0.11663,0.12924,0.10793,0.18361,True,False,0.77241
0.94,0.01,0.10496,0.11663,0.12922,0.10793,0.18334,True,False,0.77241
0.94,0.03,0.10496,0.11663,0.12922,0.10793,0.18334,True,False,0.77241
0.94,0.05,0.10496,0.11663,0.12922,0.10793,0.18334,True,False,0.77241
0.94,0.07,0.10496,0.11663,0.12922,0.10793,0.18334,True,True,0.77241
0.94,0.1,0.10496,0.11663,0.12922,0.10793,0.18334,True,True,0.77241
0.94,0.2,0.10496,0.11612,0.12731,-0.05331,0.10579,True,True,0.77241
0.95,0.005,0.12021,0.11663,0.12922,0.10793,0.18334,True,False,0.77537
0.95,0.01,0.12021,0.11663,0.12922,0.10793,0.18334,True,False,0.77537
0.95,0.03,0.12021,0.11663,0.12922,0.10793,0.18334,True,False,0.77537
0.95,0.05,0.12021,0.11663,0.12922,0.10793,0.18334,True,False,0.77537
0.95,0.07,0.12021,0.11663,0.12922,0.10793,0.18334,True,True,0.77537
0.95,0.1,0.12021,0.11663,0.12922,0.10793,0.18334,True,True,0.77537
0.95,0.2,0.12021,0.11767,0.1273,-0.06803,0.10565,True,True,0.77537
0.96,0.005,0.1335,0.11663,0.12922,0.10793,0.18334,True,False,0.74581
0.96,0.01,0.1335,0.11663,0.12922,0.10793,0.18334,True,False,0.74581
0.96,0.03,0.1335,0.11663,0.12922,0.10793,0.18334,True,False,0.74581
0.96,0.05,0.1335,0.11663,0.12922,0.10793,0.18334,True,False,0.74581
0.96,0.07,0.1335,0.11663,0.12922,0.10793,0.18334,True,True,0.74581
0.96,0.1,0.1335,0.11663,0.12922,0.10793,0.18334,True,True,0.74581
0.96,0.2,0.1335,0.11901,0.1273,-0.08228,0.10561,True,True,0.74581
0.97,0.005,0.13448,0.11663,0.12922,0.10793,0.18334,True,False,0.72118
0.97,0.01,0.13448,0.11663,0.12922,0.10793,0.18334,True,False,0.72118
0.97,0.03,0.13448,0.11663,0.12922,0.10793,0.18334,True,False,0.72118
0.97,0.05,0.13448,0.11663,0.12922,0.10793,0.18334,True,False,0.72118
0.97,0.07,0.13448,0.11663,0.12922,0.10793,0.18334,True,True,0.72118
0.97,0.1,0.13448,0.11663,0.12922,0.10793,0.18334,True,True,0.72118
0.97,0.2,0.13448,0.11908,0.1273,-0.08323,0.10561,True,True,0.72118
0.98,0.005,0.14481,0.11663,0.12922,0.10793,0.18334,True,False,0.7202
0.98,0.01,0.14481,0.11663,0.12922,0.10793,0.18334,True,False,0.7202
0.98,0.03,0.14481,0.11663,0.12922,0.10793,0.18334,True,False,0.7202
0.98,0.05,0.14481,0.11663,0.12922,0.10793,0.18334,True,False,0.7202
0.98,0.07,0.14481,0.11663,0.12922,0.10793,0.18334,True,True,0.7202
0.98,0.1,0.14481,0.11663,0.12922,0.10793,0.18334,True,True,0.7202
0.98,0.2,0.14481,0.12002,0.1273,-0.09155,0.10558,True,True,0.7202
0.99,0.005,0.16843,0.11663,0.12922,0.10793,0.18334,True,False,0.66404
0.99,0.01,0.16843,0.11663,0.12922,0.10793,0.18334,True,False,0.66404
0.99,0.03,0.16843,0.11663,0.12922,0.10793,0.18334,True,False,0.66404
0.99,0.05,0.16843,0.11663,0.12922,0.10793,0.18334,True,False,0.66404
0.99,0.07,0.16843,0.11663,0.12922,0.10793,0.18334,True,True,0.66404
0.99,0.1,0.16843,0.11663,0.12922,0.10793,0.18334,True,True,0.66404
0.99,0.2,0.16843,0.12005,0.1273,-0.09241,0.10549,True,True,0.66404
