id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.04003,0.12135,0.13598,0.10436,0.17299,True,False,0.9133
0.9,0.01,0.04003,0.12134,0.13598,0.10415,0.17295,True,False,0.9133
0.9,0.03,0.04003,0.12129,0.13598,0.10302,0.17287,True,False,0.9133
0.9,0.05,0.04003,0.12126,0.13598,0.10235,0.17286,True,False,0.9133
0.9,0.07,0.04003,0.12124,0.13599,0.10193,0.17263,True,False,0.9133
0.9,0.1,0.04003,0.12111,0.13604,0.09777,0.17092,True,True,0.9133
0.9,0.2,0.04003,0.12024,0.13931,0.05534,0.12517,True,True,0.9133
0.91,0.005,0.05183,0.12125,0.13599,0.10231,0.17286,True,False,0.90345
0.91,0.01,0.05183,0.12125,0.13599,0.10228,0.17276,True,False,0.90345
0.91,0.03,0.05183,0.12124,0.13599,0.10191,0.17273,True,False,0.90345
0.91,0.05,0.05183,0.12123,0.13599,0.10147,0.17252,True,False,0.90345
0.91,0.07,0.05183,0.12118,0.136,0.1,0.17191,True,False,0.90345
0.91,0.1,0.05183,0.12104,0.13608,0.09531,0.17068,True,True,0.90345
0.91,0.2,0.05183,0.12053,0.13947,0.01925,0.11709,True,True,0.90345
0.92,0.005,0.06462,0.12123,0.13599,0.10165,0.17262,True,False,0.88768
0.92,0.01,0.06462,0.12123,0.13599,0.10147,0.17257,True,False,0.88768
0.92,0.03,0.06462,0.12121,0.13599,0.101,0.17241,True,False,0.88768
0.92,0.05,0.06462,0.12116,0.136,0.09938,0.17177,True,False,0.88768
0.92,0.07,0.06462,0.12104,0.13608,0.09531,0.17068,True,False,0.88768
0.92,0.1,0.06462,0.12104,0.13608,0.09531,0.17068,True,True,0.88768
0.92,0.2,0.06462,0.12138,0.13965,-0.00644,0.11055,True,True,0.88768
0.93,0.005,0.06758,0.12122,0.13599,0.10136,0.17257,True,False,0.85419
0.93,0.01,0.06758,0.12122,0.13599,0.10124,0.17257,True,False,0.85419
0.93,0.03,0.06758,0.1212,0.13599,0.10045,0.17233,True,False,0.85419
0.93,0.05,0.06758,0.12115,0.13602,0.09881,0.17128,True,False,0.85419
0.93,0.07,0.06758,0.12104,0.13608,0.09531,0.17068,True,False,0.85419
0.93,0.1,0.06758,0.12104,0.13608,0.09531,0.17068,True,True,0.85419
0.93,0.2,0.06758,0.12159,0.1397,-0.01041,0.10905,True,True,0.85419
0.94,0.005,0.08184,0.1212,0.136,0.1007,0.17234,True,False,0.85616
0.94,0.01,0.08184,0.12118,0.136,0.09988,0.17212,True,False,0.85616
0.94,0.03,0.08184,0.12113,0.13601,0.0982,0.17137,True,False,0.85616
0.94,0.05,0.08184,0.12104,0.13608,0.09531,0.17068,True,False,0.85616
0.94,0.07,0.08184,0.12104,0.13608,0.09531,0.17068,True,False,0.85616
0.94,0.1,0.08184,0.12104,0.13608,0.09531,0.17068,True,True,0.85616
0.94,0.2,0.08184,0.12277,0.13976,-0.03032,0.10683,True,True,0.85616
0.95,0.005,0.0907,0.12116,0.136,0.09916,0.17197,True,False,0.84335
0.95,0.01,0.0907,0.12116,0.13602,0.09916,0.17136,True,False,0.84335
0.95,0.03,0.0907,0.12104,0.13605,0.09531,0.17084,True,False,0.84335
0.95,0.05,0.0907,0.12104,0.13608,0.09531,0.17068,True,False,0.84335
0.95,0.07,0.0907,0.12104,0.13608,0.09531,0.17068,True,False,0.84335
0.95,0.1,0.0907,0.12104,0.13608,0.09531,0.17068,True,True,0.84335
0.95,0.2,0.0907,0.1235,0.1398,-0.04316,0.10622,True,True,0.84335
0.96,0.005,0.09267,0.12114,0.136,0.09861,0.17177,True,False,0.79113
0.96,0.01,0.09267,0.12114,0.13602,0.09861,0.17136,True,False,0.79113
0.96,0.03,0.09267,0.12104,0.13605,0.09531,0.17084,True,False,0.79113
0.96,0.05,0.09267,0.12104,0.13608,0.09531,0.17068,True,False,0.79113
0.96,0.07,0.09267,0.12104,0.13608,0.09531,0.17068,True,False,0.79113
0.96,0.1,0.09267,0.12104,0.13608,0.09531,0.17068,True,True,0.79113
0.96,0.2,0.09267,0.12371,0.1398,-0.04624,0.10615,True,True,0.79113
0.97,0.005,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.77734
0.97,0.01,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.77734
0.97,0.03,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.77734
0.97,0.05,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.77734
0.97,0.07,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.77734
0.97,0.1,0.11333,0.12104,0.13608,0.09531,0.17068,True,True,0.77734
0.97,0.2,0.11333,0.12559,0.13983,-0.06932,0.10564,True,True,0.77734
0.98,0.005,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.7734
0.98,0.01,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.7734
0.98,0.03,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.7734
0.98,0.05,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.7734
0.98,0.07,0.11333,0.12104,0.13608,0.09531,0.17068,True,False,0.7734
0.98,0.1,0.11333,0.12104,0.13608,0.09531,0.17068,True,True,0.7734
0.98,0.2,0.11333,0.12559,0.13983,-0.06932,0.10564,True,True,0.7734
0.99,0.005,0.12464,0.12104,0.13608,0.09531,0.17068,True,False,0.75369
0.99,0.01,0.12464,0.12104,0.13608,0.09531,0.17068,True,False,0.75369
0.99,0.03,0.12464,0.12104,0.13608,0.09531,0.17068,True,False,0.75369
0.99,0.05,0.12464,0.12104,0.13608,0.09531,0.17068,True,False,0.75369
0.99,0.07,0.12464,0.12104,0.13608,0.09531,0.17068,True,False,0.75369
0.99,0.1,0.12464,0.12104,0.13608,0.09531,0.17068,True,True,0.75369
0.99,0.2,0.12464,0.12665,0.13984,-0.08123,0.10547,True,True,0.75369
