id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.09513,0.11263,0.13078,0.10348,0.17485,True,False,0.82463
0.9,0.01,0.09513,0.11259,0.13077,0.10307,0.17473,True,False,0.82463
0.9,0.03,0.09513,0.1122,0.13067,0.09942,0.17401,True,False,0.82463
0.9,0.05,0.09513,0.1122,0.13069,0.09942,0.17346,True,False,0.82463
0.9,0.07,0.09513,0.1122,0.13069,0.09942,0.17346,True,True,0.82463
0.9,0.1,0.09513,0.1122,0.13069,0.09942,0.17346,True,True,0.82463
0.9,0.2,0.09513,0.10952,0.12341,-0.0399,0.10613,True,True,0.82463
0.91,0.005,0.09808,0.11259,0.13077,0.10307,0.17473,True,False,0.8
0.91,0.01,0.09808,0.11254,0.13077,0.10259,0.17473,True,False,0.8
0.91,0.03,0.09808,0.1122,0.13065,0.09942,0.17363,True,False,0.8
0.91,0.05,0.09808,0.1122,0.13069,0.09942,0.17346,True,False,0.8
0.91,0.07,0.09808,0.1122,0.13069,0.09942,0.17346,True,True,0.8
0.91,0.1,0.09808,0.1122,0.13069,0.09942,0.17346,True,True,0.8
0.91,0.2,0.09808,0.10996,0.1234,-0.04518,0.10605,True,True,0.8
0.92,0.005,0.1153,0.1122,0.13064,0.09942,0.17367,True,False,0.76847
0.92,0.01,0.1153,0.1122,0.13064,0.09942,0.17367,True,False,0.76847
0.92,0.03,0.1153,0.1122,0.13069,0.09942,0.17346,True,False,0.76847
0.92,0.05,0.1153,0.1122,0.13069,0.09942,0.17346,True,False,0.76847
0.92,0.07,0.1153,0.1122,0.13069,0.09942,0.17346,True,True,0.76847
0.92,0.1,0.1153,0.1122,0.13069,0.09942,0.17346,True,True,0.76847
0.92,0.2,0.1153,0.11212,0.12334,-0.06693,0.10548,True,True,0.76847
0.93,0.005,0.11923,0.1122,0.13064,0.09942,0.17367,True,False,0.76847
0.93,0.01,0.11923,0.1122,0.13067,0.09942,0.17356,True,False,0.76847
0.93,0.03,0.11923,0.1122,0.13069,0.09942,0.17346,True,False,0.76847
0.93,0.05,0.11923,0.1122,0.13069,0.09942,0.17346,True,False,0.76847
0.93,0.07,0.11923,0.1122,0.13069,0.09942,0.17346,True,True,0.76847
0.93,0.1,0.11923,0.1122,0.13069,0.09942,0.17346,True,True,0.76847
0.93,0.2,0.11923,0.1127,0.12334,-0.0704,0.10546,True,True,0.76847
0.94,0.005,0.12956,0.1122,0.13069,0.09942,0.17346,True,False,0.7399
0.94,0.01,0.12956,0.1122,0.13069,0.09942,0.17346,True,False,0.7399
0.94,0.03,0.12956,0.1122,0.13069,0.09942,0.17346,True,False,0.7399
0.94,0.05,0.12956,0.1122,0.13069,0.09942,0.17346,True,False,0.7399
0.94,0.07,0.12956,0.1122,0.13069,0.09942,0.17346,True,True,0.7399
0.94,0.1,0.12956,0.1122,0.13069,0.09942,0.17346,True,True,0.7399
0.94,0.2,0.12956,0.11409,0.12333,-0.08201,0.10538,True,True,0.7399
0.95,0.005,0.13301,0.1122,0.13069,0.09942,0.17346,True,False,0.71232
0.95,0.01,0.13301,0.1122,0.13069,0.09942,0.17346,True,False,0.71232
0.95,0.03,0.13301,0.1122,0.13069,0.09942,0.17346,True,False,0.71232
0.95,0.05,0.13301,0.1122,0.13069,0.09942,0.17346,True,False,0.71232
0.95,0.07,0.13301,0.1122,0.13069,0.09942,0.17346,True,True,0.71232
0.95,0.1,0.13301,0.1122,0.13069,0.09942,0.17346,True,True,0.71232
0.95,0.2,0.13301,0.11456,0.12333,-0.08569,0.10535,True,True,0.71232
0.96,0.005,0.14284,0.1122,0.13069,0.09942,0.17346,True,False,0.70936
0.96,0.01,0.14284,0.1122,0.13069,0.09942,0.17346,True,False,0.70936
0.96,0.03,0.14284,0.1122,0.13069,0.09942,0.17346,True,False,0.70936
0.96,0.05,0.14284,0.1122,0.13069,0.09942,0.17346,True,False,0.70936
0.96,0.07,0.14284,0.1122,0.13069,0.09942,0.17346,True,True,0.70936
0.96,0.1,0.14284,0.1122,0.13069,0.09942,0.17346,True,True,0.70936
0.96,0.2,0.14284,0.11547,0.12332,-0.09142,0.10532,True,True,0.70936
0.97,0.005,0.15072,0.1122,0.13069,0.09942,0.17346,True,False,0.68966
0.97,0.01,0.15072,0.1122,0.13069,0.09942,0.17346,True,False,0.68966
0.97,0.03,0.15072,0.1122,0.13069,0.09942,0.17346,True,False,0.68966
0.97,0.05,0.15072,0.1122,0.13069,0.09942,0.17346,True,False,0.68966
0.97,0.07,0.15072,0.1122,0.13069,0.09942,0.17346,True,True,0.68966
0.97,0.1,0.15072,0.1122,0.13069,0.09942,0.17346,True,True,0.68966
0.97,0.2,0.15072,0.11547,0.12332,-0.09181,0.10529,True,True,0.68966
0.98,0.005,0.1576,0.1122,0.13069,0.09942,0.17346,True,False,0.66995
0.98,0.01,0.1576,0.1122,0.13069,0.09942,0.17346,True,False,0.66995
0.98,0.03,0.1576,0.1122,0.13069,0.09942,0.17346,True,False,0.66995
0.98,0.05,0.1576,0.1122,0.13069,0.09942,0.17346,True,False,0.66995
