id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.01125,0.04187,0.0811,0.03878,0.10691,True,False,0.97998
0.9,0.01,0.01125,0.04187,0.0811,0.03874,0.1069,True,False,0.97998
0.9,0.03,0.01125,0.04193,0.08109,0.04002,0.10687,True,False,0.97998
0.9,0.05,0.01125,0.04158,0.08106,0.02774,0.10681,True,False,0.97998
0.9,0.07,0.01125,0.04158,0.08082,0.02774,0.10604,True,True,0.97998
0.9,0.1,0.01125,0.04158,0.09169,0.02774,0.12127,True,True,0.97998
0.9,0.2,0.01125,0.04162,0.09747,0.02613,0.12884,True,True,0.97998
0.91,0.005,0.01133,0.04187,0.0811,0.03879,0.1069,True,False,0.97998
0.91,0.01,0.01133,0.04187,0.08109,0.03874,0.10689,True,False,0.97998
0.91,0.03,0.01133,0.04193,0.08108,0.04001,0.10687,True,False,0.97998
0.91,0.05,0.01133,0.04158,0.08106,0.02671,0.10681,True,False,0.97998
0.91,0.07,0.01133,0.04159,0.08071,0.02628,0.10582,True,True,0.97998
0.91,0.1,0.01133,0.0416,0.09177,0.02628,0.12136,True,True,0.97998
0.91,0.2,0.01133,0.04162,0.09783,0.02613,0.12907,True,True,0.97998
0.92,0.005,0.01133,0.04187,0.0811,0.03879,0.1069,True,False,0.97998
0.92,0.01,0.01133,0.04187,0.08109,0.03874,0.10689,True,False,0.97998
0.92,0.03,0.01133,0.04193,0.08108,0.04001,0.10687,True,False,0.97998
0.92,0.05,0.01133,0.04158,0.08106,0.02671,0.10681,True,False,0.97998
0.92,0.07,0.01133,0.04159,0.08071,0.02628,0.10582,True,True,0.97998
0.92,0.1,0.01133,0.0416,0.09177,0.02628,0.12136,True,True,0.97998
0.92,0.2,0.01133,0.04162,0.09783,0.02613,0.12907,True,True,0.97998
0.93,0.005,0.01111,0.04187,0.0811,0.03881,0.10692,True,False,0.97998
0.93,0.01,0.01111,0.04187,0.0811,0.03878,0.10691,True,False,0.97998
0.93,0.03,0.01111,0.04193,0.08108,0.04005,0.10687,True,False,0.97998
0.93,0.05,0.01111,0.0416,0.08106,0.02934,0.10683,True,False,0.97998
0.93,0.07,0.01111,0.04159,0.08091,0.0287,0.10621,True,True,0.97998
0.93,0.1,0.01111,0.04159,0.0915,0.0287,0.12106,True,True,0.97998
0.93,0.2,0.01111,0.04159,0.09669,0.0287,0.12787,True,True,0.97998
0.94,0.005,0.01147,0.04188,0.08109,0.03883,0.10688,True,False,0.97748
0.94,0.01,0.01147,0.04187,0.08108,0.03879,0.10687,True,False,0.97748
0.94,0.03,0.01147,0.04193,0.08108,0.03998,0.10687,True,False,0.97748
0.94,0.05,0.01147,0.04161,0.08105,0.02511,0.1068,True,False,0.97748
0.94,0.07,0.01147,0.04162,0.08077,0.02499,0.10593,True,True,0.97748
0.94,0.1,0.01147,0.04162,0.09213,0.02515,0.12188,True,True,0.97748
