id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.01574,0.04686,0.07849,0.04923,0.11776,True,False,0.96983
0.9,0.01,0.01574,0.04686,0.07847,0.04899,0.11773,True,False,0.96983
0.9,0.03,0.01574,0.0468,0.07842,0.04444,0.11756,True,False,0.96983
0.9,0.05,0.01574,0.04744,0.0787,0.02609,0.11774,True,False,0.96983
0.9,0.07,0.01574,0.04885,0.07967,0.00809,0.11904,True,True,0.96983
0.9,0.1,0.01574,0.04904,0.09728,0.0059,0.14155,True,True,0.96983
0.9,0.2,0.01574,0.04911,0.11964,0.00503,0.16956,True,True,0.96983
0.91,0.005,0.01566,0.04686,0.0785,0.04927,0.11778,True,False,0.96953
0.91,0.01,0.01566,0.04686,0.07847,0.04904,0.11773,True,False,0.96953
0.91,0.03,0.01566,0.0468,0.0784,0.04445,0.11755,True,False,0.96953
0.91,0.05,0.01566,0.04744,0.07868,0.02618,0.11771,True,False,0.96953
0.91,0.07,0.01566,0.04882,0.07967,0.00841,0.11907,True,True,0.96953
0.91,0.1,0.01566,0.04901,0.09725,0.0062,0.14152,True,True,0.96953
0.91,0.2,0.01566,0.04908,0.11907,0.00533,0.16881,True,True,0.96953
0.92,0.005,0.0161,0.04686,0.0785,0.04925,0.11778,True,False,0.96968
0.92,0.01,0.0161,0.04686,0.07848,0.04891,0.11773,True,False,0.96968
0.92,0.03,0.0161,0.0468,0.07839,0.04444,0.11749,True,False,0.96968
0.92,0.05,0.0161,0.04749,0.07878,0.02536,0.11788,True,False,0.96968
0.92,0.07,0.0161,0.04891,0.07971,0.00763,0.11891,True,True,0.96968
0.92,0.1,0.0161,0.04918,0.09737,0.00451,0.14167,True,True,0.96968
0.92,0.2,0.0161,0.04925,0.12185,0.00368,0.1726,True,True,0.96968
0.93,0.005,0.01566,0.04686,0.0785,0.04927,0.11778,True,False,0.96997
0.93,0.01,0.01566,0.04686,0.07847,0.04904,0.11773,True,False,0.96997
0.93,0.03,0.01566,0.0468,0.0784,0.04445,0.11755,True,False,0.96997
0.93,0.05,0.01566,0.04744,0.07868,0.02618,0.11771,True,False,0.96997
0.93,0.07,0.01566,0.04882,0.07967,0.00841,0.11907,True,True,0.96997
0.93,0.1,0.01566,0.04901,0.09725,0.0062,0.14152,True,True,0.96997
0.93,0.2,0.01566,0.04908,0.11907,0.00533,0.16881,True,True,0.96997
0.94,0.005,0.01647,0.04686,0.07847,0.04915,0.11773,True,False,0.96512
0.94,0.01,0.01647,0.04686,0.07846,0.04883,0.1177,True,False,0.96512
0.94,0.03,0.01647,0.0468,0.07838,0.04444,0.11744,True,False,0.96512
0.94,0.05,0.01647,0.04755,0.07886,0.02452,0.11804,True,False,0.96512
0.94,0.07,0.01647,0.04905,0.07974,0.00624,0.11879,True,True,0.96512
0.94,0.1,0.01647,0.04932,0.09746,0.0032,0.14178,True,True,0.96512
0.94,0.2,0.01647,0.04939,0.12381,0.00232,0.17531,True,True,0.96512
0.95,0.005,0.01809,0.04685,0.07844,0.04873,0.11764,True,False,0.96644
0.95,0.01,0.01809,0.04685,0.07844,0.04823,0.11764,True,False,0.96644
0.95,0.03,0.01809,0.0468,0.07841,0.0444,0.11722,True,False,0.96644
0.95,0.05,0.01809,0.04774,0.07959,0.02165,0.11937,True,False,0.96644
0.95,0.07,0.01809,0.04973,0.07977,8e-05,0.11866,True,True,0.96644
0.95,0.1,0.01809,0.05014,0.09772,-0.00396,0.14211,True,True,0.96644
0.95,0.2,0.01809,0.05027,0.13245,-0.00521,0.18569,True,True,0.96644
0.96,0.005,0.01934,0.04685,0.07843,0.04811,0.11757,True,False,0.96247
0.96,0.01,0.01934,0.04683,0.07846,0.0472,0.1176,True,False,0.96247
0.96,0.03,0.01934,0.0468,0.07874,0.04433,0.11781,True,False,0.96247
0.96,0.05,0.01934,0.0479,0.07959,0.01957,0.11937,True,False,0.96247
0.96,0.07,0.01934,0.05041,0.07977,-0.00524,0.11866,True,True,0.96247
0.96,0.1,0.01934,0.05109,0.09785,-0.0109,0.14229,True,True,0.96247
0.96,0.2,0.01934,0.05126,0.13933,-0.01238,0.19446,True,True,0.96247
0.97,0.005,0.01963,0.04684,0.07845,0.04803,0.11761,True,False,0.95938
0.97,0.01,0.01963,0.04683,0.07849,0.04699,0.11763,True,False,0.95938
0.97,0.03,0.01963,0.0468,0.0787,0.04432,0.11774,True,False,0.95938
0.97,0.05,0.01963,0.04793,0.07959,0.01913,0.11937,True,False,0.95938
0.97,0.07,0.01963,0.05062,0.07977,-0.00669,0.11866,True,True,0.95938
0.97,0.1,0.01963,0.05125,0.09787,-0.01198,0.14232,True,True,0.95938
0.97,0.2,0.01963,0.0514,0.14077,-0.01334,0.19632,True,True,0.95938
0.98,0.005,0.02162,0.04681,0.07856,0.04597,0.11768,True,False,0.95628
0.98,0.01,0.02162,0.0468,0.0786,0.04442,0.11764,True,False,0.95628
0.98,0.03,0.02162,0.04681,0.079,0.04413,0.11829,True,False,0.95628
0.98,0.05,0.02162,0.04822,0.0796,0.01575,0.11932,True,False,0.95628
0.98,0.07,0.02162,0.0517,0.07977,-0.01443,0.11866,True,True,0.95628
0.98,0.1,0.02162,0.05247,0.09799,-0.02037,0.14251,True,True,0.95628
0.98,0.2,0.02162,0.05268,0.15008,-0.02209,0.20793,True,True,0.95628
0.99,0.005,0.0239,0.0468,0.07865,0.04445,0.11767,True,False,0.95422
0.99,0.01,0.0239,0.0468,0.07872,0.04439,0.11776,True,False,0.95422
0.99,0.03,0.0239,0.04683,0.07959,0.04344,0.11937,True,False,0.95422
0.99,0.05,0.0239,0.04835,0.07961,0.0141,0.1193,True,False,0.95422
0.99,0.07,0.0239,0.05342,0.07977,-0.02485,0.11866,True,True,0.95422
0.99,0.1,0.0239,0.05428,0.09811,-0.03095,0.14269,True,True,0.95422
0.99,0.2,0.0239,0.05455,0.15856,-0.03285,0.21563,True,True,0.95422
