id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.01309,0.04823,0.08501,0.05181,0.12111,True,False,0.97513
0.9,0.01,0.01309,0.04822,0.085,0.05173,0.12109,True,False,0.97513
0.9,0.03,0.01309,0.04825,0.08497,0.05237,0.12103,True,False,0.97513
0.9,0.05,0.01309,0.0481,0.08492,0.03486,0.12089,True,False,0.97513
0.9,0.07,0.01309,0.04874,0.08538,0.02055,0.12134,True,True,0.97513
0.9,0.1,0.01309,0.04875,0.09599,0.02013,0.13491,True,True,0.97513
0.9,0.2,0.01309,0.04876,0.11318,0.01992,0.15533,True,True,0.97513
0.91,0.005,0.01309,0.04823,0.08501,0.05181,0.12111,True,False,0.97513
0.91,0.01,0.01309,0.04822,0.085,0.05173,0.12109,True,False,0.97513
0.91,0.03,0.01309,0.04825,0.08497,0.05237,0.12103,True,False,0.97513
0.91,0.05,0.01309,0.0481,0.08492,0.03486,0.12089,True,False,0.97513
0.91,0.07,0.01309,0.04874,0.08538,0.02055,0.12134,True,True,0.97513
0.91,0.1,0.01309,0.04875,0.09599,0.02013,0.13491,True,True,0.97513
0.91,0.2,0.01309,0.04876,0.11318,0.01992,0.15533,True,True,0.97513
0.92,0.005,0.01309,0.04823,0.08501,0.05181,0.12111,True,False,0.97513
0.92,0.01,0.01309,0.04822,0.085,0.05173,0.12109,True,False,0.97513
0.92,0.03,0.01309,0.04825,0.08497,0.05237,0.12103,True,False,0.97513
0.92,0.05,0.01309,0.0481,0.08492,0.03486,0.12089,True,False,0.97513
0.92,0.07,0.01309,0.04874,0.08538,0.02055,0.12134,True,True,0.97513
0.92,0.1,0.01309,0.04875,0.09599,0.02013,0.13491,True,True,0.97513
0.92,0.2,0.01309,0.04876,0.11318,0.01992,0.15533,True,True,0.97513
0.93,0.005,0.01302,0.04823,0.08501,0.05177,0.12111,True,False,0.97527
0.93,0.01,0.01302,0.04827,0.085,0.05285,0.12109,True,False,0.97527
0.93,0.03,0.01302,0.04825,0.08496,0.05247,0.12101,True,False,0.97527
0.93,0.05,0.01302,0.04809,0.08492,0.03499,0.12089,True,False,0.97527
0.93,0.07,0.01302,0.04871,0.0853,0.02105,0.12119,True,True,0.97527
0.93,0.1,0.01302,0.04873,0.09592,0.02056,0.13484,True,True,0.97527
0.93,0.2,0.01302,0.04873,0.11259,0.02036,0.15452,True,True,0.97527
0.94,0.005,0.01456,0.04823,0.08497,0.05175,0.12104,True,False,0.97012
0.94,0.01,0.01456,0.04822,0.08496,0.05166,0.12101,True,False,0.97012
0.94,0.03,0.01456,0.04818,0.08496,0.05044,0.12099,True,False,0.97012
0.94,0.05,0.01456,0.0482,0.08484,0.03198,0.12062,True,False,0.97012
0.94,0.07,0.01456,0.04922,0.08612,0.01399,0.12268,True,True,0.97012
0.94,0.1,0.01456,0.04936,0.0972,0.01176,0.13638,True,True,0.97012
0.94,0.2,0.01456,0.0494,0.12258,0.01112,0.16757,True,True,0.97012
0.95,0.005,0.01544,0.04822,0.08497,0.05173,0.12103,True,False,0.97189
0.95,0.01,0.01544,0.04822,0.08496,0.05158,0.12101,True,False,0.97189
0.95,0.03,0.01544,0.04805,0.08493,0.04709,0.12089,True,False,0.97189
0.95,0.05,0.01544,0.04827,0.08494,0.03017,0.12054,True,False,0.97189
0.95,0.07,0.01544,0.04948,0.08613,0.01092,0.12268,True,True,0.97189
0.95,0.1,0.01544,0.04973,0.09774,0.00758,0.13705,True,True,0.97189
0.95,0.2,0.01544,0.0498,0.12836,0.00669,0.1755,True,True,0.97189
0.96,0.005,0.01816,0.0482,0.08494,0.05109,0.12095,True,False,0.96482
0.96,0.01,0.01816,0.04819,0.08494,0.05074,0.12094,True,False,0.96482
0.96,0.03,0.01816,0.04805,0.08504,0.04704,0.12091,True,False,0.96482
0.96,0.05,0.01816,0.04848,0.08536,0.02587,0.12128,True,False,0.96482
0.96,0.07,0.01816,0.05062,0.08616,0.00014,0.12258,True,True,0.96482
0.96,0.1,0.01816,0.05105,0.09859,0.00465,0.13788,True,True,0.96482
0.96,0.2,0.01816,0.05119,0.14332,0.00605,0.19434,True,True,0.96482
0.97,0.005,0.01912,0.04819,0.0849,0.05079,0.12085,True,False,0.96688
0.97,0.01,0.01912,0.04816,0.0849,0.04999,0.12083,True,False,0.96688
0.97,0.03,0.01912,0.04805,0.08509,0.04702,0.1208,True,False,0.96688
0.97,0.05,0.01912,0.04857,0.08573,0.02431,0.12196,True,False,0.96688
0.97,0.07,0.01912,0.05121,0.08619,0.00482,0.1225,True,True,0.96688
0.97,0.1,0.01912,0.05177,0.09869,0.0102,0.13798,True,True,0.96688
0.97,0.2,0.01912,0.05191,0.14883,0.0116,0.20123,True,True,0.96688
0.98,0.005,0.01971,0.04818,0.08485,0.0504,0.12075,True,False,0.9607
0.98,0.01,0.01971,0.04814,0.08491,0.04955,0.1208,True,False,0.9607
0.98,0.03,0.01971,0.04805,0.08514,0.04697,0.12089,True,False,0.9607
0.98,0.05,0.01971,0.04861,0.08612,0.02358,0.12269,True,False,0.9607
0.98,0.07,0.01971,0.05145,0.08621,0.00684,0.12244,True,True,0.9607
0.98,0.1,0.01971,0.05197,0.09875,0.01188,0.13802,True,True,0.9607
0.98,0.2,0.01971,0.0521,0.15132,0.0132,0.20446,True,True,0.9607
0.99,0.005,0.02265,0.04805,0.08503,0.04709,0.12092,True,False,0.95687
0.99,0.01,0.02265,0.04805,0.08513,0.04704,0.12096,True,False,0.95687
0.99,0.03,0.02265,0.04805,0.0854,0.04672,0.12135,True,False,0.95687
0.99,0.05,0.02265,0.04883,0.08613,0.01998,0.12266,True,False,0.95687
