id,kl_constr,loss,kl_min,kl_max,min_disp,max_disp,min_feasible,max_feasible,fidelity_explainer
0.9,0.005,0.015,0.04274,0.08069,0.0487,0.11692,True,False,0.9713
0.9,0.01,0.015,0.04279,0.08069,0.04949,0.11693,True,False,0.9713
0.9,0.03,0.015,0.04244,0.08066,0.04406,0.11686,True,False,0.9713
0.9,0.05,0.015,0.04274,0.08057,0.01921,0.11657,True,False,0.9713
0.9,0.07,0.015,0.04321,0.08156,0.01086,0.11819,True,True,0.9713
0.9,0.1,0.015,0.0433,0.09616,0.00934,0.1367,True,True,0.9713
0.9,0.2,0.015,0.04333,0.11704,0.00871,0.16281,True,True,0.9713
0.91,0.005,0.015,0.04274,0.08069,0.0487,0.11692,True,False,0.97115
0.91,0.01,0.015,0.04279,0.08069,0.04949,0.11693,True,False,0.97115
0.91,0.03,0.015,0.04244,0.08066,0.04406,0.11686,True,False,0.97115
0.91,0.05,0.015,0.04274,0.08057,0.01921,0.11657,True,False,0.97115
0.91,0.07,0.015,0.04321,0.08156,0.01086,0.11819,True,True,0.97115
0.91,0.1,0.015,0.0433,0.09616,0.00934,0.1367,True,True,0.97115
0.91,0.2,0.015,0.04333,0.11704,0.00871,0.16281,True,True,0.97115
0.92,0.005,0.01508,0.04274,0.08068,0.04866,0.11691,True,False,0.9713
0.92,0.01,0.01508,0.04279,0.08068,0.0495,0.11692,True,False,0.9713
0.92,0.03,0.01508,0.04244,0.08066,0.04406,0.11686,True,False,0.9713
0.92,0.05,0.01508,0.04276,0.08056,0.01893,0.11654,True,False,0.9713
0.92,0.07,0.01508,0.04324,0.08156,0.0105,0.11818,True,True,0.9713
0.92,0.1,0.01508,0.04332,0.09624,0.00899,0.1368,True,True,0.9713
0.92,0.2,0.01508,0.04336,0.11768,0.00835,0.16367,True,True,0.9713
0.93,0.005,0.01588,0.04273,0.08068,0.04851,0.11691,True,False,0.971
0.93,0.01,0.01588,0.04279,0.08068,0.04938,0.11691,True,False,0.971
0.93,0.03,0.01588,0.04244,0.08064,0.04405,0.1168,True,False,0.971
0.93,0.05,0.01588,0.04291,0.08061,0.01656,0.1164,True,False,0.971
0.93,0.07,0.01588,0.04351,0.08157,0.00724,0.11815,True,True,0.971
0.93,0.1,0.01588,0.04365,0.09681,0.00508,0.13751,True,True,0.971
0.93,0.2,0.01588,0.04371,0.12372,0.00421,0.17188,True,True,0.971
0.94,0.005,0.01669,0.04272,0.08067,0.04836,0.11689,True,False,0.96718
0.94,0.01,0.01669,0.04269,0.08067,0.04795,0.11688,True,False,0.96718
0.94,0.03,0.01669,0.04244,0.08062,0.04403,0.11673,True,False,0.96718
0.94,0.05,0.01669,0.04307,0.08069,0.01429,0.11656,True,False,0.96718
0.94,0.07,0.01669,0.04378,0.08158,0.00403,0.11808,True,True,0.96718
0.94,0.1,0.01669,0.04393,0.09721,0.00192,0.13799,True,True,0.96718
0.94,0.2,0.01669,0.044,0.12907,0.00095,0.17907,True,True,0.96718
0.95,0.005,0.01794,0.0427,0.08067,0.04807,0.11687,True,False,0.96497
0.95,0.01,0.01794,0.04266,0.08064,0.04751,0.11679,True,False,0.96497
0.95,0.03,0.01794,0.04244,0.08057,0.04395,0.11658,True,False,0.96497
0.95,0.05,0.01794,0.04337,0.08089,0.01057,0.11694,True,False,0.96497
0.95,0.07,0.01794,0.04441,0.08161,-0.00183,0.11793,True,True,0.96497
