model_class,unfairness,metric,group
AdaBoost,0.122,SP,Members
AdaBoost,0.039,PE,Members
AdaBoost,0.118,EOpp,Members
AdaBoost,0.118,EOdds,Members
AdaBoost,0.118,SP,Non-Members
AdaBoost,0.036,PE,Non-Members
AdaBoost,0.124,EOpp,Non-Members
AdaBoost,0.124,EOdds,Non-Members
DNN,0.163,SP,Members
DNN,0.065,PE,Members
DNN,0.047,EOpp,Members
DNN,0.069,EOdds,Members
DNN,0.163,SP,Non-Members
DNN,0.066,PE,Non-Members
DNN,0.055,EOpp,Non-Members
DNN,0.072,EOdds,Non-Members
RF,0.167,SP,Members
RF,0.063,PE,Members
RF,0.106,EOpp,Members
RF,0.106,EOdds,Members
RF,0.163,SP,Non-Members
RF,0.061,PE,Non-Members
RF,0.103,EOpp,Non-Members
RF,0.103,EOdds,Non-Members
XgBoost,0.168,SP,Members
XgBoost,0.064,PE,Members
XgBoost,0.098,EOpp,Members
XgBoost,0.1,EOdds,Members
XgBoost,0.168,SP,Non-Members
XgBoost,0.066,PE,Non-Members
XgBoost,0.099,EOpp,Non-Members
XgBoost,0.102,EOdds,Non-Members
