model_class,unfairness,metric,group
AdaBoost,0.214,SP,Members
AdaBoost,0.217,PE,Members
AdaBoost,0.138,EOpp,Members
AdaBoost,0.219,EOdds,Members
AdaBoost,0.207,SP,Non-Members
AdaBoost,0.208,PE,Non-Members
AdaBoost,0.143,EOpp,Non-Members
AdaBoost,0.208,EOdds,Non-Members
DNN,0.27,SP,Members
DNN,0.299,PE,Members
DNN,0.172,EOpp,Members
DNN,0.299,EOdds,Members
DNN,0.26,SP,Non-Members
DNN,0.281,PE,Non-Members
DNN,0.179,EOpp,Non-Members
DNN,0.283,EOdds,Non-Members
RF,0.258,SP,Members
RF,0.278,PE,Members
RF,0.163,EOpp,Members
RF,0.278,EOdds,Members
RF,0.25,SP,Non-Members
RF,0.265,PE,Non-Members
RF,0.173,EOpp,Non-Members
RF,0.265,EOdds,Non-Members
XgBoost,0.265,SP,Members
XgBoost,0.282,PE,Members
XgBoost,0.172,EOpp,Members
XgBoost,0.282,EOdds,Members
XgBoost,0.255,SP,Non-Members
XgBoost,0.263,PE,Non-Members
XgBoost,0.181,EOpp,Non-Members
XgBoost,0.263,EOdds,Non-Members
