model_class,unfairness,metric,group
AdaBoost,0.065,SP,Members
AdaBoost,0.026,PE,Members
AdaBoost,0.087,EOpp,Members
AdaBoost,0.087,EOdds,Members
AdaBoost,0.07,SP,Non-Members
AdaBoost,0.025,PE,Non-Members
AdaBoost,0.116,EOpp,Non-Members
AdaBoost,0.116,EOdds,Non-Members
DNN,0.09,SP,Members
DNN,0.042,PE,Members
DNN,0.07,EOpp,Members
DNN,0.07,EOdds,Members
DNN,0.099,SP,Non-Members
DNN,0.046,PE,Non-Members
DNN,0.092,EOpp,Non-Members
DNN,0.096,EOdds,Non-Members
RF,0.098,SP,Members
RF,0.045,PE,Members
RF,0.062,EOpp,Members
RF,0.069,EOdds,Members
RF,0.095,SP,Non-Members
RF,0.042,PE,Non-Members
RF,0.058,EOpp,Non-Members
RF,0.068,EOdds,Non-Members
XgBoost,0.1,SP,Members
XgBoost,0.045,PE,Members
XgBoost,0.096,EOpp,Members
XgBoost,0.096,EOdds,Members
XgBoost,0.103,SP,Non-Members
XgBoost,0.045,PE,Non-Members
XgBoost,0.109,EOpp,Non-Members
XgBoost,0.109,EOdds,Non-Members
